运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD9585102,南京天河区,南京浦东新区,王娜,EMP_050,王静贸易公司,顺丰速运,电子产品,合同物流,1307kg,3.53m³,4535元,3545元,2025-09-09 11:07,2026-12-24 02:02,2025-09-09 11:07,2025-02-11 15:10,派送中,黄秀英,996km,余杭网点,天河网点,重量异常,高
WLYD5678298,广州天河区,南京鼓楼区,吴磊,EMP_036,杨丽贸易公司,顺丰速运,电子产品,整车,3293kg,5.90m³,800元,3617元,2026-01-20 21:54,2025-02-03 12:47,2026-01-20 21:54,2025-04-17 11:57,已退回,刘秀英,1344km,朝阳网点,南山网点,超时派送,高
WLYD9180925,杭州南山区,北京天河区,杨丽,EMP_059,吴芳贸易公司,顺丰速运,电子产品,零担,2097kg,5.94m³,4898元,1400元,2025-02-22 01:34,2025-05-02 00:39,2025-02-22 01:34,2025-04-13 20:01,已签收,陈伟,1250km,南山网点,余杭网点,虚假签收,高
WLYD2088924,南京朝阳区,上海天河区,杨伟,EMP_017,吴磊贸易公司,顺丰速运,食品,整车,620kg,2.64m³,425元,3171元,2026-08-20 16:56,2025-10-24 06:56,2026-08-20 16:56,2026-12-20 14:46,已签收,李丽,695km,南山网点,天河网点,包装破损,低
WLYD5262118,南京天河区,南京余杭区,刘丽,EMP_052,赵丽贸易公司,顺丰速运,电子产品,整车,1373kg,4.50m³,1520元,563元,2025-05-19 00:34,2026-08-25 18:01,2025-05-19 00:34,2026-07-25 09:50,已签收,刘敏,1747km,天河网点,浦东网点,货物损坏,中
WLYD4313196,南京南山区,北京鼓楼区,周娜,EMP_093,王娜贸易公司,顺丰速运,电子产品,合同物流,151kg,7.03m³,4208元,4510元,2026-09-22 16:50,2026-05-08 17:08,2026-09-22 16:50,2026-10-11 19:34,已签收,王敏,563km,朝阳网点,天河网点,未及时签收,高
WLYD2487800,上海朝阳区,北京天河区,周丽,EMP_082,黄丽贸易公司,顺丰速运,化工品,合同物流,3733kg,8.13m³,2935元,4125元,2025-04-12 04:26,2025-10-18 12:34,2025-04-12 04:26,2025-04-24 01:35,已签收,陈磊,1591km,南山网点,天河网点,包装破损,低
WLYD1823190,上海天河区,北京天河区,王静,EMP_054,李敏贸易公司,顺丰速运,建材,整车,4976kg,6.31m³,775元,1024元,2026-11-07 01:53,2026-05-04 11:01,2026-11-07 01:53,2026-12-02 15:47,派送中,王伟,974km,朝阳网点,南山网点,包装破损,中
WLYD9330428,北京鼓楼区,深圳南山区,陈芳,EMP_100,杨秀英贸易公司,顺丰速运,化工品,整车,4673kg,9.23m³,3282元,3853元,2025-03-22 03:48,2026-10-15 05:29,2025-03-22 03:48,2025-05-09 01:53,派送中,黄磊,1927km,天河网点,天河网点,虚假签收,中
WLYD9594763,上海朝阳区,杭州余杭区,王丽,EMP_006,杨强贸易公司,顺丰速运,化工品,合同物流,1149kg,6.95m³,4992元,2012元,2025-04-15 16:59,2025-04-19 21:41,2025-04-15 16:59,2026-02-04 22:18,已签收,李伟,672km,鼓楼网点,天河网点,未及时签收,高
WLYD6477675,上海鼓楼区,上海天河区,赵伟,EMP_004,赵强贸易公司,顺丰速运,电子产品,整车,388kg,1.72m³,1766元,3856元,2025-08-22 14:31,2026-08-28 20:46,2025-08-22 14:31,2026-02-23 02:54,已签收,吴磊,1207km,朝阳网点,鼓楼网点,重量异常,低
WLYD1212562,上海天河区,杭州鼓楼区,张敏,EMP_024,赵敏贸易公司,顺丰速运,建材,整车,92kg,3.79m³,832元,2799元,2026-04-24 12:51,2025-07-28 12:03,2026-04-24 12:51,2025-03-03 19:04,已签收,周静,770km,南山网点,天河网点,路线异常,中
WLYD1970342,南京浦东新区,南京南山区,李敏,EMP_035,王磊贸易公司,顺丰速运,建材,整车,1543kg,7.08m³,1665元,481元,2025-10-10 18:15,2026-03-25 22:55,2025-10-10 18:15,2025-08-02 20:49,已签收,赵强,238km,鼓楼网点,鼓楼网点,路线异常,低
WLYD5857169,北京浦东新区,南京朝阳区,周洋,EMP_084,周强贸易公司,顺丰速运,食品,零担,221kg,7.55m³,1061元,3820元,2025-10-08 04:48,2026-03-12 01:29,2025-10-08 04:48,2026-11-09 15:23,派送中,黄丽,1746km,余杭网点,朝阳网点,路线异常,高
WLYD8267281,深圳南山区,广州南山区,杨秀英,EMP_083,刘芳贸易公司,顺丰速运,食品,整车,4604kg,6.29m³,4076元,3804元,2026-07-16 04:23,2025-12-26 09:06,2026-07-16 04:23,2025-07-02 04:26,已退回,杨磊,1518km,天河网点,余杭网点,包装破损,高
WLYD5370695,广州南山区,上海浦东新区,刘丽,EMP_083,张静贸易公司,顺丰速运,服装,整车,161kg,1.64m³,379元,1656元,2026-11-02 02:53,2026-04-27 13:01,2026-11-02 02:53,2025-04-12 21:55,已签收,吴强,1227km,余杭网点,浦东网点,货物损坏,低
WLYD2246390,深圳朝阳区,杭州余杭区,赵伟,EMP_042,吴秀英贸易公司,顺丰速运,电子产品,零担,824kg,6.17m³,977元,479元,2026-08-22 10:36,2026-11-17 18:10,2026-08-22 10:36,2026-03-24 23:13,已退回,刘洋,1999km,朝阳网点,余杭网点,包装破损,高
WLYD3536714,广州南山区,上海浦东新区,周磊,EMP_076,黄丽贸易公司,顺丰速运,化工品,合同物流,1686kg,8.81m³,897元,1142元,2025-07-18 03:12,2026-10-01 11:07,2025-07-18 03:12,2025-02-27 15:49,派送中,李伟,1554km,余杭网点,朝阳网点,货物损坏,低
WLYD1256825,北京浦东新区,广州浦东新区,李娜,EMP_069,黄洋贸易公司,顺丰速运,服装,合同物流,4620kg,1.83m³,3892元,3425元,2026-08-09 14:57,2025-01-01 00:40,2026-08-09 14:57,2025-08-25 03:41,已签收,刘丽,686km,南山网点,余杭网点,重量异常,高
WLYD5455448,杭州鼓楼区,上海朝阳区,陈娜,EMP_081,吴秀英贸易公司,顺丰速运,服装,零担,777kg,7.08m³,2433元,3881元,2026-12-03 17:58,2025-07-24 18:29,2026-12-03 17:58,2025-06-01 00:48,已退回,赵洋,1311km,天河网点,天河网点,路线异常,低
WLYD5451665,杭州南山区,广州朝阳区,李伟,EMP_068,黄磊贸易公司,顺丰速运,食品,整车,4636kg,3.77m³,2017元,2084元,2025-01-01 09:25,2025-02-28 16:16,2025-01-01 09:25,2026-01-03 06:13,已签收,陈敏,1827km,浦东网点,鼓楼网点,路线异常,低
WLYD7819337,上海天河区,深圳朝阳区,王伟,EMP_070,赵洋贸易公司,顺丰速运,食品,合同物流,1502kg,9.01m³,4343元,1051元,2025-06-01 07:19,2026-05-21 19:46,2025-06-01 07:19,2025-06-09 11:04,派送中,陈磊,943km,浦东网点,南山网点,虚假签收,低
WLYD3363904,南京浦东新区,杭州朝阳区,黄丽,EMP_078,杨伟贸易公司,顺丰速运,服装,零担,3935kg,5.68m³,1984元,3769元,2026-11-17 22:57,2026-07-28 17:46,2026-11-17 22:57,2026-12-04 19:42,已退回,黄娜,1258km,余杭网点,浦东网点,路线异常,高
WLYD7070827,深圳余杭区,上海鼓楼区,吴静,EMP_064,周芳贸易公司,顺丰速运,建材,整车,4511kg,5.56m³,300元,4220元,2026-03-24 13:53,2025-09-21 11:42,2026-03-24 13:53,2025-08-02 12:17,已退回,刘洋,666km,鼓楼网点,南山网点,货物损坏,低
WLYD4778046,北京鼓楼区,北京浦东新区,杨磊,EMP_047,王娜贸易公司,顺丰速运,服装,零担,2050kg,7.40m³,1211元,3421元,2026-06-12 03:32,2026-01-22 00:04,2026-06-12 03:32,2025-03-28 19:19,已签收,张磊,1865km,余杭网点,鼓楼网点,货物损坏,低
WLYD8137465,广州浦东新区,深圳余杭区,王静,EMP_013,陈芳贸易公司,顺丰速运,食品,整车,1566kg,4.53m³,2894元,1378元,2026-03-16 00:36,2025-06-20 00:46,2026-03-16 00:36,2026-07-05 23:55,已签收,赵秀英,1520km,天河网点,浦东网点,未及时签收,中
WLYD1743772,广州南山区,南京鼓楼区,王丽,EMP_074,王静贸易公司,顺丰速运,化工品,零担,4295kg,0.30m³,2758元,4611元,2026-05-15 12:35,2025-04-15 23:49,2026-05-15 12:35,2025-12-26 15:31,已退回,刘娜,1738km,朝阳网点,南山网点,超时派送,低
WLYD1351088,深圳南山区,深圳朝阳区,周敏,EMP_031,吴静贸易公司,顺丰速运,电子产品,合同物流,1571kg,9.88m³,1568元,1371元,2025-07-19 01:15,2026-03-07 01:04,2025-07-19 01:15,2026-07-12 11:03,已签收,李磊,1204km,鼓楼网点,浦东网点,运费异常,低
WLYD3032892,南京天河区,南京朝阳区,赵磊,EMP_004,李静贸易公司,顺丰速运,服装,零担,545kg,3.93m³,3040元,2879元,2026-08-27 02:25,2025-01-08 04:50,2026-08-27 02:25,2026-12-05 08:54,已退回,陈秀英,613km,余杭网点,浦东网点,重量异常,低
WLYD7344318,深圳余杭区,南京天河区,张洋,EMP_066,黄静贸易公司,顺丰速运,电子产品,整车,2609kg,9.25m³,1625元,228元,2026-05-08 00:01,2025-09-10 00:13,2026-05-08 00:01,2026-12-16 16:47,已签收,刘伟,1562km,南山网点,余杭网点,未及时签收,低
WLYD1868755,上海南山区,深圳南山区,张娜,EMP_056,刘娜贸易公司,顺丰速运,化工品,合同物流,2184kg,7.44m³,144元,1840元,2025-02-22 14:52,2025-01-01 13:44,2025-02-22 14:52,2026-08-20 10:14,派送中,刘磊,394km,天河网点,南山网点,超时派送,低
WLYD6966964,深圳南山区,北京朝阳区,李洋,EMP_082,周磊贸易公司,顺丰速运,电子产品,合同物流,1506kg,1.84m³,317元,362元,2025-03-20 23:15,2026-06-27 07:59,2025-03-20 23:15,2025-10-08 09:45,已退回,黄丽,452km,余杭网点,朝阳网点,运费异常,低
WLYD1488468,南京鼓楼区,上海南山区,吴洋,EMP_073,黄秀英贸易公司,顺丰速运,食品,零担,2589kg,7.68m³,953元,3947元,2026-11-11 19:14,2026-12-11 21:32,2026-11-11 19:14,2025-07-24 19:17,已退回,张敏,1562km,鼓楼网点,余杭网点,未及时签收,高
WLYD2453422,北京天河区,广州鼓楼区,杨磊,EMP_048,周洋贸易公司,顺丰速运,建材,零担,884kg,0.99m³,4201元,808元,2025-04-24 15:49,2026-06-23 01:49,2025-04-24 15:49,2026-09-28 03:35,已签收,吴磊,647km,鼓楼网点,浦东网点,超时派送,低
WLYD8745957,上海朝阳区,北京余杭区,张芳,EMP_050,周丽贸易公司,顺丰速运,建材,零担,2357kg,1.37m³,4505元,2086元,2026-03-08 16:44,2025-01-13 20:05,2026-03-08 16:44,2025-11-23 05:25,已签收,李静,1279km,天河网点,天河网点,包装破损,高
WLYD8869700,深圳南山区,杭州余杭区,赵洋,EMP_049,陈磊贸易公司,顺丰速运,化工品,整车,2540kg,1.66m³,3455元,2502元,2026-11-17 14:24,2026-11-09 01:02,2026-11-17 14:24,2025-04-27 05:07,已签收,黄静,1082km,天河网点,余杭网点,包装破损,高
WLYD8600546,南京余杭区,广州天河区,王秀英,EMP_090,吴洋贸易公司,顺丰速运,建材,合同物流,4977kg,3.15m³,3810元,3471元,2026-08-03 03:50,2026-07-20 05:54,2026-08-03 03:50,2025-04-24 18:05,派送中,李秀英,1573km,余杭网点,朝阳网点,超时派送,高
WLYD8665085,南京鼓楼区,上海南山区,周芳,EMP_006,黄丽贸易公司,顺丰速运,化工品,零担,1657kg,9.75m³,1663元,321元,2025-05-17 22:28,2025-03-23 06:26,2025-05-17 22:28,2025-06-22 09:26,派送中,吴强,1377km,南山网点,鼓楼网点,超时派送,高
WLYD8346062,北京天河区,南京朝阳区,陈敏,EMP_068,张娜贸易公司,顺丰速运,化工品,整车,3600kg,3.35m³,303元,1768元,2025-12-04 04:19,2025-02-10 12:06,2025-12-04 04:19,2026-03-25 09:51,已退回,张丽,889km,余杭网点,鼓楼网点,路线异常,高
