运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD2798000,上海余杭区,杭州浦东新区,陈伟,EMP_046,陈娜贸易公司,韵达快运,电子产品,零担,4112kg,1.79m³,519元,194元,2025-07-01 21:48,2026-03-11 07:34,2025-07-01 21:48,2025-11-08 01:45,派送中,李磊,590km,浦东网点,天河网点,包装破损,高
WLYD1298722,杭州朝阳区,北京鼓楼区,陈娜,EMP_096,李静贸易公司,顺丰物流,电子产品,整车,1413kg,4.72m³,958元,3347元,2026-09-13 21:49,2025-07-01 20:11,2026-09-13 21:49,2025-03-07 22:40,已签收,赵强,1076km,鼓楼网点,朝阳网点,包装破损,中
WLYD1945211,深圳朝阳区,深圳天河区,周丽,EMP_029,吴敏贸易公司,申通快递,电子产品,零担,3961kg,3.60m³,3992元,2401元,2026-08-12 13:00,2026-11-15 05:37,2026-08-12 13:00,2025-11-11 18:13,派送中,李洋,1845km,朝阳网点,天河网点,包装破损,中
WLYD4295556,杭州浦东新区,杭州浦东新区,黄娜,EMP_073,黄芳贸易公司,顺丰物流,化工品,整车,2185kg,9.02m³,1898元,403元,2026-10-27 19:31,2026-09-19 11:16,2026-10-27 19:31,2026-09-25 14:57,已退回,周敏,1710km,浦东网点,南山网点,虚假签收,低
WLYD3529241,北京浦东新区,上海南山区,赵芳,EMP_041,李敏贸易公司,圆通速递,建材,零担,3598kg,5.71m³,390元,3428元,2025-10-12 15:10,2025-10-10 20:23,2025-10-12 15:10,2026-07-06 01:48,已退回,李强,86km,天河网点,朝阳网点,虚假签收,中
WLYD3485997,上海天河区,北京鼓楼区,陈秀英,EMP_073,黄敏贸易公司,顺丰物流,服装,合同物流,1341kg,9.96m³,274元,2274元,2025-01-16 15:11,2026-12-12 04:38,2025-01-16 15:11,2026-12-15 22:04,已签收,周强,1123km,朝阳网点,浦东网点,路线异常,高
WLYD3348300,深圳南山区,南京朝阳区,陈娜,EMP_037,刘芳贸易公司,申通快递,电子产品,零担,2859kg,8.99m³,4371元,668元,2025-06-17 03:54,2025-01-09 08:56,2025-06-17 03:54,2025-11-11 16:05,派送中,黄强,1602km,鼓楼网点,浦东网点,未及时签收,中
WLYD4752522,南京天河区,深圳朝阳区,杨静,EMP_024,王秀英贸易公司,圆通速递,食品,整车,2989kg,7.14m³,1183元,4094元,2025-09-26 03:05,2026-03-24 13:26,2025-09-26 03:05,2026-07-10 19:35,已签收,李娜,1845km,浦东网点,浦东网点,路线异常,高
WLYD8207598,杭州天河区,杭州天河区,李强,EMP_073,赵芳贸易公司,圆通速递,电子产品,合同物流,2343kg,9.94m³,1013元,4175元,2026-08-09 17:27,2026-07-13 02:10,2026-08-09 17:27,2025-09-01 01:56,派送中,黄静,1323km,浦东网点,余杭网点,虚假签收,低
WLYD7598644,北京天河区,杭州鼓楼区,黄伟,EMP_091,李芳贸易公司,圆通速递,电子产品,合同物流,1854kg,3.79m³,3404元,2249元,2026-07-07 02:30,2026-07-04 12:01,2026-07-07 02:30,2025-12-05 03:30,派送中,周磊,1091km,余杭网点,鼓楼网点,路线异常,中
WLYD5239918,杭州余杭区,北京南山区,王丽,EMP_024,刘娜贸易公司,中通快递,化工品,零担,4766kg,4.96m³,2247元,2702元,2026-07-10 17:54,2026-02-12 02:35,2026-07-10 17:54,2025-06-12 05:23,已退回,王强,784km,鼓楼网点,朝阳网点,路线异常,低
WLYD3086195,深圳南山区,上海鼓楼区,张芳,EMP_043,张丽贸易公司,顺丰物流,服装,合同物流,2644kg,9.28m³,3752元,3738元,2026-11-25 08:40,2026-09-02 13:25,2026-11-25 08:40,2026-12-12 07:38,派送中,杨伟,1714km,浦东网点,天河网点,包装破损,高
WLYD7876615,深圳朝阳区,南京余杭区,杨静,EMP_100,李敏贸易公司,顺丰物流,化工品,整车,4402kg,7.62m³,3984元,1220元,2026-06-17 15:14,2025-03-14 02:44,2026-06-17 15:14,2026-06-09 10:07,已退回,杨静,1460km,余杭网点,朝阳网点,虚假签收,低
