运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD1477340,深圳南山区,上海浦东新区,张丽,EMP_080,周静贸易公司,中通快递,服装,零担,225kg,8.13m³,868元,441元,2025-10-02 20:13,2026-02-01 15:42,2025-10-02 20:13,2025-07-08 05:56,派送中,刘丽,395km,鼓楼网点,余杭网点,货物损坏,低
WLYD6731445,上海天河区,北京余杭区,王磊,EMP_051,李强贸易公司,申通快递,食品,整车,4760kg,1.40m³,2965元,1902元,2026-05-05 01:41,2025-02-10 15:45,2026-05-05 01:41,2025-06-15 17:59,已签收,黄娜,253km,浦东网点,朝阳网点,货物损坏,高
WLYD8485815,深圳浦东新区,广州朝阳区,陈磊,EMP_052,王芳贸易公司,韵达快运,服装,零担,97kg,4.70m³,427元,811元,2025-07-20 17:07,2026-09-17 19:41,2025-07-20 17:07,2025-09-05 06:18,已签收,张敏,719km,余杭网点,鼓楼网点,包装破损,高
WLYD7434264,北京鼓楼区,上海南山区,赵敏,EMP_096,赵敏贸易公司,顺丰物流,服装,零担,920kg,0.02m³,1448元,3650元,2025-03-11 01:33,2026-11-25 17:12,2025-03-11 01:33,2026-02-07 19:38,已签收,黄秀英,714km,余杭网点,鼓楼网点,超时派送,低
WLYD5851770,深圳朝阳区,南京鼓楼区,陈丽,EMP_076,陈娜贸易公司,申通快递,建材,合同物流,2115kg,2.35m³,1104元,986元,2025-12-23 22:12,2025-06-17 08:13,2025-12-23 22:12,2026-12-25 22:24,已退回,赵洋,1791km,朝阳网点,鼓楼网点,虚假签收,低
WLYD1397499,上海天河区,杭州鼓楼区,刘静,EMP_068,杨洋贸易公司,圆通速递,服装,零担,4219kg,9.56m³,3937元,1063元,2025-04-17 17:51,2025-03-03 01:03,2025-04-17 17:51,2025-08-09 14:53,已退回,李磊,121km,浦东网点,余杭网点,重量异常,高
WLYD6453712,上海余杭区,深圳鼓楼区,张洋,EMP_026,刘秀英贸易公司,韵达快运,化工品,合同物流,1043kg,2.54m³,4928元,3990元,2026-06-08 05:32,2025-05-16 21:15,2026-06-08 05:32,2025-05-05 06:13,已签收,杨秀英,1968km,鼓楼网点,余杭网点,超时派送,低
WLYD4845241,南京天河区,北京朝阳区,张芳,EMP_020,张伟贸易公司,中通快递,电子产品,整车,2922kg,2.54m³,1708元,3931元,2026-06-25 20:54,2026-04-07 17:09,2026-06-25 20:54,2025-03-10 01:22,派送中,黄丽,566km,鼓楼网点,天河网点,未及时签收,中
WLYD5605729,广州浦东新区,杭州天河区,周敏,EMP_084,李伟贸易公司,申通快递,化工品,整车,3794kg,1.07m³,3489元,3409元,2026-08-08 22:38,2025-07-26 10:17,2026-08-08 22:38,2026-03-22 16:45,派送中,吴秀英,1611km,天河网点,朝阳网点,货物损坏,高
WLYD9813419,杭州浦东新区,上海余杭区,杨娜,EMP_048,赵娜贸易公司,申通快递,化工品,零担,2371kg,6.64m³,1389元,3998元,2025-04-10 03:10,2025-12-20 15:49,2025-04-10 03:10,2026-03-28 17:02,已退回,吴芳,1969km,南山网点,余杭网点,路线异常,高
WLYD5258181,广州鼓楼区,北京余杭区,李磊,EMP_100,周伟贸易公司,韵达快运,建材,零担,1554kg,8.71m³,1278元,3337元,2026-04-03 07:55,2025-02-28 09:19,2026-04-03 07:55,2026-10-13 04:17,已签收,陈芳,444km,朝阳网点,南山网点,超时派送,高
WLYD9516452,上海天河区,深圳南山区,赵强,EMP_033,陈秀英贸易公司,中通快递,服装,零担,2480kg,2.33m³,4601元,4055元,2026-06-17 22:22,2025-06-20 10:01,2026-06-17 22:22,2026-05-04 08:17,已退回,陈强,854km,浦东网点,南山网点,虚假签收,低
