运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD1328524,上海鼓楼区,广州朝阳区,黄伟,EMP_062,赵敏贸易公司,圆通速递,建材,整车,3679kg,3.35m³,4617元,3264元,2026-06-06 03:36,2026-03-10 05:13,2026-06-06 03:36,2025-05-21 13:57,已退回,王芳,124km,天河网点,鼓楼网点,运费异常,高,上海区
WLYD1561328,广州余杭区,北京浦东新区,周洋,EMP_035,杨秀英贸易公司,顺丰物流,化工品,合同物流,2202kg,1.42m³,1012元,695元,2025-10-28 10:01,2025-07-02 14:40,2025-10-28 10:01,2025-05-01 03:31,已签收,张洋,1478km,朝阳网点,鼓楼网点,重量异常,低,
WLYD9983819,广州朝阳区,南京朝阳区,赵芳,EMP_058,王伟贸易公司,圆通速递,食品,合同物流,2740kg,6.77m³,938元,1200元,2026-09-17 19:13,2026-08-13 11:55,2026-09-17 19:13,2025-08-13 06:13,已签收,刘丽,1216km,天河网点,朝阳网点,货物损坏,中,
WLYD9540625,北京朝阳区,南京余杭区,杨丽,EMP_083,陈强贸易公司,韵达快运,电子产品,整车,344kg,2.42m³,299元,3143元,2026-09-08 16:01,2025-10-05 11:43,2026-09-08 16:01,2026-05-10 03:28,已签收,黄秀英,1880km,天河网点,南山网点,未及时签收,中,北京区
WLYD8675842,南京余杭区,北京南山区,陈伟,EMP_015,王伟贸易公司,申通快递,服装,整车,2500kg,5.49m³,506元,2294元,2025-12-05 17:44,2026-08-09 16:16,2025-12-05 17:44,2025-04-05 11:49,已签收,赵静,1685km,天河网点,朝阳网点,货物损坏,中,
WLYD5432161,南京朝阳区,北京鼓楼区,杨洋,EMP_081,陈洋贸易公司,申通快递,化工品,零担,562kg,5.36m³,2217元,783元,2025-03-09 10:00,2026-09-01 22:10,2025-03-09 10:00,2026-10-26 15:58,派送中,陈娜,1251km,朝阳网点,朝阳网点,虚假签收,低,
WLYD3376967,上海朝阳区,深圳天河区,张丽,EMP_028,赵强贸易公司,顺丰物流,食品,合同物流,4184kg,8.73m³,3250元,3694元,2025-11-26 00:04,2026-12-16 09:26,2025-11-26 00:04,2026-09-07 13:24,已退回,杨洋,1014km,浦东网点,余杭网点,重量异常,低,上海区
WLYD1762236,杭州南山区,上海浦东新区,黄丽,EMP_058,杨秀英贸易公司,韵达快运,食品,合同物流,996kg,7.26m³,2921元,2298元,2025-08-17 01:27,2025-10-02 11:26,2025-08-17 01:27,2025-11-14 15:30,派送中,王芳,166km,朝阳网点,浦东网点,重量异常,低,浙北区
WLYD8098731,杭州朝阳区,南京鼓楼区,张强,EMP_077,刘敏贸易公司,申通快递,食品,零担,2194kg,2.63m³,4926元,2572元,2026-02-28 19:53,2026-05-25 08:00,2026-02-28 19:53,2026-11-03 14:57,已退回,张伟,114km,浦东网点,朝阳网点,虚假签收,中,浙北区
WLYD2897451,广州天河区,上海朝阳区,李芳,EMP_061,陈秀英贸易公司,韵达快运,食品,合同物流,4308kg,5.75m³,3003元,341元,2025-06-08 02:04,2025-01-22 03:20,2025-06-08 02:04,2026-09-18 21:42,已签收,刘秀英,1973km,天河网点,浦东网点,超时派送,高,
WLYD9967983,杭州余杭区,深圳浦东新区,张静,EMP_022,黄伟贸易公司,申通快递,服装,合同物流,4757kg,9.20m³,1082元,2329元,2025-05-06 06:25,2026-03-12 07:44,2025-05-06 06:25,2026-04-28 08:40,已签收,张芳,958km,余杭网点,天河网点,包装破损,低,浙北区
WLYD2575843,广州南山区,杭州南山区,陈洋,EMP_057,杨洋贸易公司,圆通速递,建材,整车,472kg,0.25m³,3083元,3299元,2026-01-24 07:07,2026-02-05 03:03,2026-01-24 07:07,2026-09-22 13:00,已签收,陈伟,1163km,朝阳网点,天河网点,货物损坏,高,
WLYD2800297,南京南山区,广州朝阳区,吴秀英,EMP_030,陈磊贸易公司,顺丰物流,电子产品,整车,4884kg,3.04m³,2415元,1886元,2026-12-13 23:29,2025-11-12 17:56,2026-12-13 23:29,2025-08-02 10:40,已签收,张秀英,1411km,鼓楼网点,朝阳网点,超时派送,高,
