运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD2982964,南京南山区,深圳浦东新区,黄秀英,EMP_036,黄强运输公司,顺丰速运,电子产品,整车,1724kg,6.1m³,3674元,2356元,2025-10-04 18:46,2025-10-04 18:46,2025-10-04 18:46,2025-10-04 18:46,已签收,张秀英,2160km,西湖网点,武林网点,金额异常,中,上海区
WLYD9664532,南京余杭区,成都天河区,李强,EMP_035,王静贸易公司,极兔速递,食品生鲜,跨境电商,3149kg,12.56m³,9484元,6424元,2025-10-23 20:42,2025-10-23 20:42,2025-10-23 20:42,2025-10-23 20:42,派送中,陈秀英,1297km,朝阳网点,浦东网点,货物损坏,低,上海区
WLYD6013516,上海天河区,广州鼓楼区,张伟,EMP_042,刘洋运输公司,韵达速运,化工原料,整车,2926kg,9.6m³,3600元,7238元,2025-10-03 16:55,2025-10-03 16:55,2025-10-03 16:55,2025-10-03 16:55,异常,杨秀英,1852km,武林网点,天河网点,货物损坏,低,上海区
WLYD2783049,南京朝阳区,广州余杭区,赵伟,EMP_056,赵磊物流公司,极兔速递,食品生鲜,整车,4318kg,20.49m³,5572元,3537元,2025-10-19 16:18,2025-10-19 16:18,2025-10-19 16:18,2025-10-19 16:18,异常,陈秀英,2233km,鼓楼网点,鼓楼网点,金额异常,中,上海区
WLYD9467470,上海鼓楼区,重庆南山区,黄秀英,EMP_040,杨丽贸易公司,韵达速运,电子产品,快递,1181kg,1.9m³,5370元,2150元,2025-10-09 17:19,2025-10-09 17:19,2025-10-09 17:19,2025-10-09 17:19,已退回,赵秀英,2532km,浦东网点,武林网点,地址错误,中,上海区
WLYD5201873,南京余杭区,杭州南山区,吴磊,EMP_032,赵磊物流公司,极兔速递,化工原料,快递,1194kg,7.19m³,4116元,6959元,2025-10-28 10:41,2025-10-28 10:41,2025-10-28 10:41,2025-10-28 10:41,运输中,陈秀英,2397km,天河网点,南山网点,重复下单,高,上海区
WLYD6161131,上海朝阳区,西安鼓楼区,吴磊,EMP_048,杨丽贸易公司,韵达速运,食品生鲜,整车,1332kg,10.3m³,1919元,4353元,2025-10-19 18:35,2025-10-19 18:35,2025-10-19 18:35,2025-10-19 18:35,异常,赵秀英,1533km,南山网点,鼓楼网点,重复下单,中,上海区
WLYD2888767,上海鼓楼区,广州浦东新区,李强,EMP_059,周涛货运公司,德邦物流,服装鞋帽,快递,4139kg,7.83m³,7255元,6240元,2025-10-11 12:31,2025-10-11 12:31,2025-10-11 12:31,2025-10-11 12:31,派送中,黄秀英,1523km,鼓楼网点,朝阳网点,虚假签收,高,上海区
WLYD1041147,南京鼓楼区,武汉南山区,周芳,EMP_043,赵磊物流公司,德邦物流,食品生鲜,快递,2994kg,13.49m³,2715元,7916元,2025-10-02 11:08,2025-10-02 11:08,2025-10-02 11:08,2025-10-02 11:08,派送中,李秀英,564km,武林网点,南山网点,重量异常,高,上海区
WLYD4392235,南京南山区,北京鼓楼区,陈静,EMP_044,杨明货运公司,韵达速运,电子产品,冷链物流,4644kg,1.62m³,6924元,7867元,2025-10-25 18:25,2025-10-25 18:25,2025-10-25 18:25,2025-10-25 18:25,运输中,黄秀英,1228km,朝阳网点,西湖网点,重复下单,高,上海区
