运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD1714693,深圳浦东新区,广州余杭区,周芳,EMP_035,王静贸易公司,顺丰速运,电子产品,零担,2026kg,11.42m³,1836元,3064元,2025-05-28 18:17,2025-05-28 18:17,2025-05-28 18:17,2025-05-28 18:17,派送中,刘秀英,532km,朝阳网点,浦东网点,地址错误,低,上海区
WLYD7973894,广州浦东新区,上海余杭区,赵伟,EMP_053,陈华物流公司,顺丰速运,五金工具,整车,3312kg,17.96m³,3265元,1952元,2025-05-09 12:17,2025-05-09 12:17,2025-05-09 12:17,2025-05-09 12:17,异常,王秀英,205km,鼓楼网点,天河网点,重复下单,高,上海区
WLYD3205979,杭州天河区,西安鼓楼区,黄秀英,EMP_050,张伟货运公司,申通快递,电子产品,合同物流,2620kg,8.0m³,4656元,7333元,2025-05-13 12:51,2025-05-13 12:51,2025-05-13 12:51,2025-05-13 12:51,运输中,刘秀英,2763km,南山网点,西湖网点,重量异常,高,浙北区
WLYD6098959,北京鼓楼区,南京鼓楼区,李强,EMP_055,杨丽贸易公司,圆通速递,电子产品,整车,2628kg,16.29m³,394元,3993元,2025-05-09 20:15,2025-05-09 20:15,2025-05-09 20:15,2025-05-09 20:15,已退回,张秀英,792km,武林网点,浦东网点,金额异常,高,北京区
WLYD1579839,上海天河区,广州天河区,杨磊,EMP_039,刘洋运输公司,极兔速递,服装鞋帽,冷链物流,2727kg,11.26m³,2089元,6963元,2025-05-01 19:52,2025-05-01 19:52,2025-05-01 19:52,2025-05-01 19:52,派送中,赵秀英,2170km,余杭网点,武林网点,地址错误,中,上海区
WLYD4440404,杭州浦东新区,深圳朝阳区,周芳,EMP_037,赵磊物流公司,圆通速递,食品生鲜,跨境电商,2239kg,17.55m³,158元,5377元,2025-05-21 10:14,2025-05-21 10:14,2025-05-21 10:14,2025-05-21 10:14,运输中,李秀英,2669km,鼓楼网点,南山网点,重复下单,中,浙北区
WLYD1451448,上海浦东新区,深圳天河区,李强,EMP_037,周涛货运公司,申通快递,食品生鲜,零担,71kg,13.83m³,4423元,2579元,2025-05-04 10:15,2025-05-04 10:15,2025-05-04 10:15,2025-05-04 10:15,运输中,杨秀英,2156km,余杭网点,鼓楼网点,货物损坏,中,上海区
WLYD8389734,北京鼓楼区,杭州朝阳区,王娜,EMP_053,赵磊物流公司,顺丰速运,家具家电,零担,2693kg,10.25m³,9648元,5512元,2025-05-22 08:18,2025-05-22 08:18,2025-05-22 08:18,2025-05-22 08:18,派送中,陈秀英,1235km,武林网点,天河网点,超时派送,中,北京区
WLYD9496960,上海南山区,深圳朝阳区,赵伟,EMP_052,陈华物流公司,德邦物流,家具家电,跨境电商,4736kg,9.15m³,2889元,505元,2025-05-01 12:24,2025-05-01 12:24,2025-05-01 12:24,2025-05-01 12:24,异常,王秀英,2220km,浦东网点,南山网点,超时派送,高,上海区
WLYD2309909,上海南山区,重庆南山区,陈静,EMP_040,周涛货运公司,申通快递,电子产品,零担,3852kg,9.85m³,4716元,2898元,2025-05-28 08:20,2025-05-28 08:20,2025-05-28 08:20,2025-05-28 08:20,已退回,李秀英,2959km,武林网点,余杭网点,地址错误,中,上海区
WLYD8076198,上海朝阳区,重庆浦东新区,杨磊,EMP_059,周涛货运公司,顺丰速运,服装鞋帽,整车,3270kg,20.84m³,6205元,5964元,2025-05-27 20:49,2025-05-27 20:49,2025-05-27 20:49,2025-05-27 20:49,已签收,刘秀英,839km,天河网点,武林网点,重复下单,中,上海区
WLYD5456177,杭州南山区,杭州朝阳区,王娜,EMP_052,李刚物流公司,圆通速递,化工原料,跨境电商,4808kg,2.57m³,5425元,1626元,2025-05-10 16:09,2025-05-10 16:09,2025-05-10 16:09,2025-05-10 16:09,已退回,李秀英,1698km,朝阳网点,武林网点,虚假签收,低,浙北区
WLYD3153635,北京天河区,南京南山区,刘芳,EMP_042,陈华物流公司,德邦物流,五金工具,整车,2466kg,18.85m³,6077元,4399元,2025-05-08 08:45,2025-05-08 08:45,2025-05-08 08:45,2025-05-08 08:45,已签收,陈秀英,1538km,鼓楼网点,朝阳网点,虚假签收,中,北京区
WLYD7217652,深圳鼓楼区,成都朝阳区,刘芳,EMP_043,李刚物流公司,申通快递,五金工具,整车,1242kg,15.0m³,3850元,471元,2025-05-02 13:11,2025-05-02 13:11,2025-05-02 13:11,2025-05-02 13:11,已退回,张秀英,2745km,余杭网点,武林网点,金额异常,低,上海区
WLYD7728787,杭州天河区,重庆天河区,黄秀英,EMP_054,杨明货运公司,德邦物流,服装鞋帽,冷链物流,252kg,6.42m³,4101元,4148元,2025-05-23 20:50,2025-05-23 20:50,2025-05-23 20:50,2025-05-23 20:50,已退回,黄秀英,554km,西湖网点,天河网点,重量异常,中,浙北区
WLYD9030893,北京朝阳区,南京鼓楼区,张伟,EMP_036,杨明货运公司,极兔速递,服装鞋帽,跨境电商,2661kg,10.97m³,1578元,4691元,2025-05-02 13:32,2025-05-02 13:32,2025-05-02 13:32,2025-05-02 13:32,派送中,李秀英,1995km,鼓楼网点,西湖网点,重复下单,中,北京区
