运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD2859994,南京天河区,深圳朝阳区,刘芳,EMP_041,黄强运输公司,顺丰速运,图书文具,整车,4360kg,6.14m³,6072元,5395元,2025-12-08 08:20,2025-12-08 08:20,2025-12-08 08:20,2025-12-08 08:20,已签收,赵秀英,2858km,武林网点,浦东网点,地址错误,高,上海区
WLYD8745391,南京余杭区,上海朝阳区,张伟,EMP_048,杨丽贸易公司,韵达速运,图书文具,整车,3522kg,4.13m³,3498元,2052元,2025-12-03 11:42,2025-12-03 11:42,2025-12-03 11:42,2025-12-03 11:42,已退回,陈秀英,2260km,天河网点,南山网点,货物损坏,低,上海区
WLYD6581959,上海浦东新区,武汉天河区,李强,EMP_054,王静贸易公司,顺丰速运,五金工具,跨境电商,4936kg,8.8m³,9457元,3438元,2025-12-17 17:40,2025-12-17 17:40,2025-12-17 17:40,2025-12-17 17:40,已签收,杨秀英,2475km,余杭网点,南山网点,超时派送,低,上海区
WLYD4375254,南京浦东新区,西安朝阳区,李强,EMP_046,周涛货运公司,中通快递,服装鞋帽,零担,3126kg,18.24m³,5322元,7552元,2025-12-07 20:24,2025-12-07 20:24,2025-12-07 20:24,2025-12-07 20:24,已退回,陈秀英,886km,西湖网点,南山网点,超时派送,高,上海区
WLYD5477584,广州鼓楼区,广州天河区,周芳,EMP_035,杨明货运公司,韵达速运,化工原料,合同物流,1925kg,3.72m³,9807元,1389元,2025-12-28 16:45,2025-12-28 16:45,2025-12-28 16:45,2025-12-28 16:45,派送中,李秀英,2877km,天河网点,余杭网点,虚假签收,中,上海区
WLYD2203471,北京南山区,广州南山区,吴磊,EMP_034,王静贸易公司,德邦物流,图书文具,冷链物流,2535kg,2.52m³,7036元,2572元,2025-12-17 15:40,2025-12-17 15:40,2025-12-17 15:40,2025-12-17 15:40,已签收,李秀英,2861km,鼓楼网点,浦东网点,重量异常,中,北京区
WLYD7150386,广州南山区,武汉南山区,李强,EMP_035,刘洋运输公司,德邦物流,电子产品,合同物流,4788kg,12.16m³,3960元,6221元,2025-12-11 19:01,2025-12-11 19:01,2025-12-11 19:01,2025-12-11 19:01,派送中,张秀英,152km,西湖网点,武林网点,重复下单,中,上海区
WLYD2904298,杭州鼓楼区,西安天河区,杨磊,EMP_030,王静贸易公司,中通快递,五金工具,整车,3126kg,2.28m³,9986元,4000元,2025-12-10 15:12,2025-12-10 15:12,2025-12-10 15:12,2025-12-10 15:12,异常,赵秀英,432km,浦东网点,浦东网点,金额异常,高,浙北区
WLYD2088633,北京天河区,重庆浦东新区,刘芳,EMP_051,李刚物流公司,圆通速递,家具家电,快递,1585kg,7.87m³,8824元,816元,2025-12-23 17:40,2025-12-23 17:40,2025-12-23 17:40,2025-12-23 17:40,异常,赵秀英,1746km,鼓楼网点,武林网点,地址错误,中,北京区
WLYD6623944,南京鼓楼区,武汉余杭区,刘芳,EMP_050,陈华物流公司,中通快递,化工原料,快递,2618kg,2.24m³,1726元,809元,2025-12-10 18:33,2025-12-10 18:33,2025-12-10 18:33,2025-12-10 18:33,运输中,赵秀英,968km,浦东网点,鼓楼网点,金额异常,低,上海区
