运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD4910130,深圳南山区,重庆朝阳区,赵伟,EMP_049,杨明货运公司,极兔速递,图书文具,整车,4229kg,5.3m³,6594元,1055元,2025-04-19 11:29,2025-04-19 11:29,2025-04-19 11:29,2025-04-19 11:29,派送中,刘秀英,2515km,浦东网点,余杭网点,重量异常,中,上海区
WLYD7019763,南京朝阳区,成都余杭区,张伟,EMP_048,王静贸易公司,中通快递,五金工具,快递,3170kg,9.71m³,6434元,3704元,2025-04-14 17:40,2025-04-14 17:40,2025-04-14 17:40,2025-04-14 17:40,派送中,张秀英,528km,南山网点,浦东网点,金额异常,中,上海区
WLYD3914060,深圳余杭区,广州天河区,王娜,EMP_057,陈华物流公司,德邦物流,服装鞋帽,跨境电商,2902kg,6.17m³,7868元,3347元,2025-04-16 16:00,2025-04-16 16:00,2025-04-16 16:00,2025-04-16 16:00,运输中,张秀英,1398km,余杭网点,朝阳网点,重量异常,中,上海区
WLYD2421668,广州天河区,南京鼓楼区,王娜,EMP_033,赵磊物流公司,申通快递,服装鞋帽,零担,1294kg,3.57m³,9889元,5850元,2025-04-06 16:46,2025-04-06 16:46,2025-04-06 16:46,2025-04-06 16:46,运输中,黄秀英,796km,天河网点,余杭网点,重复下单,高,上海区
WLYD2232681,广州鼓楼区,上海天河区,吴磊,EMP_045,李刚物流公司,申通快递,电子产品,合同物流,533kg,15.46m³,1510元,7138元,2025-04-24 13:49,2025-04-24 13:49,2025-04-24 13:49,2025-04-24 13:49,异常,黄秀英,2751km,南山网点,朝阳网点,虚假签收,中,上海区
WLYD6549082,上海浦东新区,杭州南山区,张伟,EMP_040,赵磊物流公司,德邦物流,家具家电,冷链物流,277kg,6.76m³,3906元,1498元,2025-04-25 17:40,2025-04-25 17:40,2025-04-25 17:40,2025-04-25 17:40,已退回,杨秀英,2068km,鼓楼网点,鼓楼网点,超时派送,中,上海区
WLYD6106735,深圳鼓楼区,武汉鼓楼区,杨磊,EMP_049,杨丽贸易公司,顺丰速运,家具家电,跨境电商,2312kg,11.56m³,1586元,5859元,2025-04-28 14:21,2025-04-28 14:21,2025-04-28 14:21,2025-04-28 14:21,运输中,杨秀英,1945km,天河网点,浦东网点,地址错误,高,上海区
WLYD5135554,北京朝阳区,重庆鼓楼区,李强,EMP_031,黄强运输公司,中通快递,五金工具,零担,103kg,16.20m³,9247元,2040元,2025-04-10 18:35,2025-04-10 18:35,2025-04-10 18:35,2025-04-10 18:35,异常,陈秀英,105km,朝阳网点,武林网点,重复下单,中,北京区
WLYD7758328,深圳天河区,西安南山区,周芳,EMP_057,陈华物流公司,极兔速递,五金工具,冷链物流,3176kg,15.47m³,8719元,4510元,2025-04-19 15:59,2025-04-19 15:59,2025-04-19 15:59,2025-04-19 15:59,已退回,刘秀英,2332km,南山网点,西湖网点,重复下单,高,上海区
WLYD4098867,深圳南山区,成都鼓楼区,吴磊,EMP_037,赵磊物流公司,极兔速递,图书文具,跨境电商,1548kg,16.43m³,8383元,5162元,2025-04-09 08:44,2025-04-09 08:44,2025-04-09 08:44,2025-04-09 08:44,异常,李秀英,2378km,鼓楼网点,西湖网点,金额异常,中,上海区
WLYD9360420,广州南山区,成都天河区,李强,EMP_042,王静贸易公司,德邦物流,五金工具,整车,61kg,1.18m³,9735元,2220元,2025-04-24 15:52,2025-04-24 15:52,2025-04-24 15:52,2025-04-24 15:52,已退回,杨秀英,791km,天河网点,鼓楼网点,地址错误,高,上海区
WLYD1369055,杭州天河区,西安南山区,李强,EMP_057,周涛货运公司,极兔速递,图书文具,快递,222kg,19.87m³,7928元,4456元,2025-04-24 08:36,2025-04-24 08:36,2025-04-24 08:36,2025-04-24 08:36,已签收,刘秀英,2931km,天河网点,朝阳网点,超时派送,低,浙北区
WLYD5212151,杭州南山区,西安南山区,周芳,EMP_051,陈华物流公司,德邦物流,电子产品,零担,292kg,2.64m³,5237元,5499元,2025-04-10 08:50,2025-04-10 08:50,2025-04-10 08:50,2025-04-10 08:50,已退回,李秀英,931km,余杭网点,朝阳网点,地址错误,中,浙北区
WLYD4053959,杭州余杭区,广州朝阳区,王娜,EMP_046,刘洋运输公司,韵达速运,服装鞋帽,快递,2207kg,12.83m³,1791元,5958元,2025-04-25 19:36,2025-04-25 19:36,2025-04-25 19:36,2025-04-25 19:36,运输中,李秀英,507km,朝阳网点,浦东网点,重量异常,中,浙北区
WLYD2216568,北京朝阳区,广州朝阳区,刘芳,EMP_050,周涛货运公司,韵达速运,五金工具,零担,490kg,12.11m³,1447元,3333元,2025-04-04 20:10,2025-04-04 20:10,2025-04-04 20:10,2025-04-04 20:10,派送中,杨秀英,2804km,西湖网点,武林网点,超时派送,中,北京区
WLYD9724800,深圳朝阳区,南京浦东新区,吴磊,EMP_050,刘洋运输公司,极兔速递,服装鞋帽,合同物流,3715kg,20.70m³,6572元,6454元,2025-04-15 11:32,2025-04-15 11:32,2025-04-15 11:32,2025-04-15 11:32,运输中,刘秀英,2184km,浦东网点,鼓楼网点,超时派送,高,上海区
WLYD5244555,深圳鼓楼区,武汉鼓楼区,李强,EMP_038,张伟货运公司,德邦物流,服装鞋帽,合同物流,35kg,12.34m³,1409元,4480元,2025-04-22 13:14,2025-04-22 13:14,2025-04-22 13:14,2025-04-22 13:14,异常,张秀英,2335km,余杭网点,鼓楼网点,地址错误,低,上海区
WLYD2461890,北京朝阳区,武汉朝阳区,张伟,EMP_048,黄强运输公司,德邦物流,电子产品,快递,1912kg,16.25m³,3504元,1710元,2025-04-13 16:34,2025-04-13 16:34,2025-04-13 16:34,2025-04-13 16:34,运输中,李秀英,834km,西湖网点,西湖网点,虚假签收,低,北京区
WLYD3937413,广州鼓楼区,北京浦东新区,刘芳,EMP_049,王静贸易公司,申通快递,服装鞋帽,冷链物流,3870kg,17.92m³,8668元,6135元,2025-04-28 16:48,2025-04-28 16:48,2025-04-28 16:48,2025-04-28 16:48,运输中,李秀英,1919km,西湖网点,余杭网点,重量异常,低,上海区
WLYD6530670,上海浦东新区,成都鼓楼区,吴磊,EMP_035,张伟货运公司,中通快递,化工原料,快递,1541kg,3.75m³,6174元,5923元,2025-04-02 11:12,2025-04-02 11:12,2025-04-02 11:12,2025-04-02 11:12,异常,赵秀英,115km,武林网点,余杭网点,货物损坏,中,上海区
WLYD7122470,南京浦东新区,成都天河区,陈静,EMP_059,杨丽贸易公司,极兔速递,化工原料,合同物流,2976kg,1.82m³,1230元,2006元,2025-04-09 18:53,2025-04-09 18:53,2025-04-09 18:53,2025-04-09 18:53,异常,杨秀英,398km,南山网点,浦东网点,超时派送,低,上海区
WLYD8930238,北京鼓楼区,广州余杭区,赵伟,EMP_046,王静贸易公司,顺丰速运,服装鞋帽,合同物流,29kg,1.40m³,4503元,5738元,2025-04-16 08:16,2025-04-16 08:16,2025-04-16 08:16,2025-04-16 08:16,异常,杨秀英,1614km,南山网点,鼓楼网点,地址错误,中,北京区
WLYD5878085,北京南山区,深圳南山区,李强,EMP_042,张伟货运公司,韵达速运,化工原料,冷链物流,2427kg,14.36m³,430元,3618元,2025-04-22 11:35,2025-04-22 11:35,2025-04-22 11:35,2025-04-22 11:35,运输中,陈秀英,478km,武林网点,鼓楼网点,金额异常,中,北京区
WLYD8626859,广州南山区,上海浦东新区,张伟,EMP_050,张伟货运公司,圆通速递,家具家电,零担,4704kg,2.70m³,6269元,4743元,2025-04-13 09:56,2025-04-13 09:56,2025-04-13 09:56,2025-04-13 09:56,运输中,张秀英,1419km,南山网点,余杭网点,地址错误,中,上海区
WLYD8420057,北京朝阳区,南京余杭区,吴磊,EMP_032,刘洋运输公司,德邦物流,食品生鲜,整车,3865kg,4.22m³,7806元,5397元,2025-04-07 17:16,2025-04-07 17:16,2025-04-07 17:16,2025-04-07 17:16,已签收,刘秀英,2188km,浦东网点,鼓楼网点,超时派送,低,北京区
WLYD8726887,北京余杭区,深圳鼓楼区,王娜,EMP_054,赵磊物流公司,申通快递,家具家电,零担,1636kg,10.26m³,4702元,1354元,2025-04-22 08:18,2025-04-22 08:18,2025-04-22 08:18,2025-04-22 08:18,已签收,赵秀英,1898km,余杭网点,南山网点,重复下单,高,北京区
WLYD6079023,广州朝阳区,北京余杭区,赵伟,EMP_041,李刚物流公司,圆通速递,化工原料,跨境电商,1067kg,12.89m³,8876元,7251元,2025-04-05 14:59,2025-04-05 14:59,2025-04-05 14:59,2025-04-05 14:59,运输中,赵秀英,1080km,朝阳网点,南山网点,虚假签收,中,上海区
WLYD4327937,杭州浦东新区,深圳天河区,陈静,EMP_046,赵磊物流公司,圆通速递,服装鞋帽,快递,3684kg,18.0m³,1322元,3229元,2025-04-18 13:10,2025-04-18 13:10,2025-04-18 13:10,2025-04-18 13:10,运输中,李秀英,2736km,南山网点,余杭网点,虚假签收,高,浙北区
WLYD5886083,南京鼓楼区,西安鼓楼区,张伟,EMP_034,杨丽贸易公司,德邦物流,图书文具,冷链物流,3830kg,8.53m³,1192元,7579元,2025-04-02 16:01,2025-04-02 16:01,2025-04-02 16:01,2025-04-02 16:01,已签收,陈秀英,2212km,浦东网点,武林网点,金额异常,高,上海区
WLYD2281058,上海浦东新区,成都朝阳区,赵伟,EMP_041,杨丽贸易公司,韵达速运,家具家电,快递,1479kg,5.10m³,5254元,6799元,2025-04-01 09:36,2025-04-01 09:36,2025-04-01 09:36,2025-04-01 09:36,已退回,李秀英,816km,西湖网点,西湖网点,超时派送,高,上海区
WLYD3849326,深圳天河区,杭州天河区,赵伟,EMP_035,赵磊物流公司,顺丰速运,五金工具,整车,2425kg,17.78m³,171元,7522元,2025-04-13 20:51,2025-04-13 20:51,2025-04-13 20:51,2025-04-13 20:51,派送中,黄秀英,1232km,武林网点,南山网点,金额异常,低,上海区
WLYD7358638,广州朝阳区,成都朝阳区,陈静,EMP_052,周涛货运公司,圆通速递,家具家电,零担,2594kg,16.94m³,8776元,738元,2025-04-06 09:00,2025-04-06 09:00,2025-04-06 09:00,2025-04-06 09:00,运输中,王秀英,2308km,朝阳网点,西湖网点,重量异常,低,上海区
WLYD3593044,北京朝阳区,西安鼓楼区,赵伟,EMP_043,王静贸易公司,申通快递,化工原料,跨境电商,4078kg,7.68m³,8937元,692元,2025-04-28 08:46,2025-04-28 08:46,2025-04-28 08:46,2025-04-28 08:46,异常,刘秀英,1234km,武林网点,鼓楼网点,货物损坏,高,北京区
WLYD1052293,南京天河区,重庆余杭区,李强,EMP_050,杨明货运公司,申通快递,电子产品,合同物流,1503kg,12.60m³,2321元,2038元,2025-04-20 10:35,2025-04-20 10:35,2025-04-20 10:35,2025-04-20 10:35,异常,张秀英,783km,武林网点,鼓楼网点,重量异常,低,上海区
WLYD7527017,上海鼓楼区,上海余杭区,王娜,EMP_034,李刚物流公司,韵达速运,电子产品,跨境电商,300kg,16.54m³,3426元,1619元,2025-04-18 18:22,2025-04-18 18:22,2025-04-18 18:22,2025-04-18 18:22,已退回,赵秀英,1263km,鼓楼网点,鼓楼网点,货物损坏,中,上海区
WLYD4743373,杭州南山区,成都天河区,陈静,EMP_055,李刚物流公司,韵达速运,服装鞋帽,冷链物流,864kg,15.65m³,455元,2615元,2025-04-13 15:10,2025-04-13 15:10,2025-04-13 15:10,2025-04-13 15:10,运输中,张秀英,2811km,余杭网点,南山网点,虚假签收,中,浙北区
WLYD1516376,上海余杭区,重庆朝阳区,周芳,EMP_050,王静贸易公司,中通快递,服装鞋帽,合同物流,4867kg,15.44m³,4728元,2634元,2025-04-20 18:31,2025-04-20 18:31,2025-04-20 18:31,2025-04-20 18:31,已签收,赵秀英,1955km,浦东网点,南山网点,超时派送,高,上海区
WLYD4121543,上海南山区,深圳鼓楼区,黄秀英,EMP_037,赵磊物流公司,顺丰速运,服装鞋帽,整车,4199kg,8.50m³,123元,899元,2025-04-15 12:55,2025-04-15 12:55,2025-04-15 12:55,2025-04-15 12:55,已签收,李秀英,2976km,武林网点,鼓楼网点,地址错误,低,上海区
WLYD6453171,广州朝阳区,杭州天河区,赵伟,EMP_036,张伟货运公司,极兔速递,食品生鲜,跨境电商,3786kg,19.31m³,1422元,2220元,2025-04-07 09:32,2025-04-07 09:32,2025-04-07 09:32,2025-04-07 09:32,已退回,黄秀英,1692km,鼓楼网点,浦东网点,重复下单,低,上海区
WLYD3839036,南京南山区,上海余杭区,陈静,EMP_047,陈华物流公司,极兔速递,服装鞋帽,冷链物流,2613kg,18.9m³,5925元,2124元,2025-04-18 19:52,2025-04-18 19:52,2025-04-18 19:52,2025-04-18 19:52,运输中,张秀英,195km,西湖网点,朝阳网点,超时派送,低,上海区
