运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD5955135,上海鼓楼区,广州朝阳区,吴磊,EMP_034,王静贸易公司,韵达速运,服装鞋帽,冷链物流,3966kg,13.66m³,8517元,4966元,2025-08-15 16:39,2025-08-15 16:39,2025-08-15 16:39,2025-08-15 16:39,已签收,刘秀英,2687km,天河网点,西湖网点,超时派送,高,上海区
WLYD2636144,北京鼓楼区,南京朝阳区,王娜,EMP_041,张伟货运公司,圆通速递,五金工具,快递,4814kg,19.89m³,8238元,1638元,2025-08-24 17:49,2025-08-24 17:49,2025-08-24 17:49,2025-08-24 17:49,派送中,杨秀英,2163km,朝阳网点,西湖网点,虚假签收,高,北京区
WLYD5008340,广州浦东新区,武汉南山区,王娜,EMP_030,杨丽贸易公司,中通快递,五金工具,快递,1098kg,12.35m³,8215元,1830元,2025-08-03 13:45,2025-08-03 13:45,2025-08-03 13:45,2025-08-03 13:45,已签收,杨秀英,1837km,鼓楼网点,鼓楼网点,超时派送,中,
WLYD3419649,广州浦东新区,上海朝阳区,黄秀英,EMP_055,杨明货运公司,中通快递,图书文具,零担,3116kg,16.50m³,1272元,7502元,2025-08-13 13:57,2025-08-13 13:57,2025-08-13 13:57,2025-08-13 13:57,运输中,陈秀英,1261km,朝阳网点,西湖网点,超时派送,低,
WLYD6213241,深圳鼓楼区,成都南山区,黄秀英,EMP_035,刘洋运输公司,申通快递,服装鞋帽,快递,3641kg,19.93m³,1462元,5824元,2025-08-27 10:26,2025-08-27 10:26,2025-08-27 10:26,2025-08-27 10:26,派送中,黄秀英,1318km,西湖网点,余杭网点,金额异常,中,
WLYD5107538,南京浦东新区,上海余杭区,杨磊,EMP_037,赵磊物流公司,德邦物流,五金工具,零担,1776kg,9.71m³,1603元,2851元,2025-08-06 14:22,2025-08-06 14:22,2025-08-06 14:22,2025-08-06 14:22,异常,杨秀英,1010km,浦东网点,浦东网点,虚假签收,低,
WLYD8634828,北京浦东新区,重庆鼓楼区,李强,EMP_033,杨丽贸易公司,顺丰速运,家具家电,跨境电商,3927kg,13.72m³,5408元,3623元,2025-08-08 12:15,2025-08-08 12:15,2025-08-08 12:15,2025-08-08 12:15,已签收,杨秀英,1038km,天河网点,武林网点,重复下单,高,北京区
WLYD6412371,杭州浦东新区,南京鼓楼区,王娜,EMP_055,张伟货运公司,顺丰速运,电子产品,零担,1714kg,1.22m³,5423元,6281元,2025-08-28 17:41,2025-08-28 17:41,2025-08-28 17:41,2025-08-28 17:41,已签收,李秀英,2873km,朝阳网点,余杭网点,超时派送,中,浙北区
WLYD6199188,北京南山区,杭州南山区,王娜,EMP_051,张伟货运公司,极兔速递,化工原料,合同物流,4815kg,12.27m³,3330元,2453元,2025-08-23 13:18,2025-08-23 13:18,2025-08-23 13:18,2025-08-23 13:18,已签收,赵秀英,1718km,朝阳网点,浦东网点,重复下单,中,北京区
WLYD8413559,北京余杭区,重庆余杭区,杨磊,EMP_037,周涛货运公司,德邦物流,电子产品,合同物流,849kg,5.13m³,6189元,7881元,2025-08-15 08:15,2025-08-15 08:15,2025-08-15 08:15,2025-08-15 08:15,已退回,杨秀英,1327km,朝阳网点,武林网点,重量异常,高,北京区
WLYD3554906,深圳浦东新区,成都余杭区,李强,EMP_049,杨丽贸易公司,德邦物流,家具家电,快递,3985kg,5.19m³,7613元,1963元,2025-08-15 19:21,2025-08-15 19:21,2025-08-15 19:21,2025-08-15 19:21,异常,黄秀英,1745km,西湖网点,鼓楼网点,重量异常,低,
WLYD3165991,广州余杭区,杭州浦东新区,张伟,EMP_045,陈华物流公司,韵达速运,五金工具,冷链物流,3297kg,15.80m³,7958元,2066元,2025-08-02 13:19,2025-08-02 13:19,2025-08-02 13:19,2025-08-02 13:19,派送中,杨秀英,468km,南山网点,鼓楼网点,重复下单,低,
WLYD1496488,北京天河区,上海浦东新区,王娜,EMP_033,陈华物流公司,德邦物流,化工原料,整车,1905kg,3.0m³,572元,1719元,2025-08-14 19:52,2025-08-14 19:52,2025-08-14 19:52,2025-08-14 19:52,已签收,王秀英,2590km,余杭网点,朝阳网点,地址错误,高,北京区
WLYD4175730,杭州朝阳区,重庆天河区,吴磊,EMP_047,周涛货运公司,极兔速递,图书文具,冷链物流,4088kg,13.56m³,9329元,766元,2025-08-04 19:21,2025-08-04 19:21,2025-08-04 19:21,2025-08-04 19:21,异常,杨秀英,674km,武林网点,余杭网点,货物损坏,中,浙北区
WLYD6823836,上海浦东新区,广州鼓楼区,黄秀英,EMP_051,李刚物流公司,极兔速递,食品生鲜,整车,431kg,10.93m³,1191元,3350元,2025-08-12 16:08,2025-08-12 16:08,2025-08-12 16:08,2025-08-12 16:08,派送中,赵秀英,2469km,南山网点,天河网点,虚假签收,高,上海区
WLYD9383723,深圳天河区,重庆南山区,王娜,EMP_046,刘洋运输公司,韵达速运,化工原料,零担,3252kg,13.31m³,3700元,491元,2025-08-12 11:26,2025-08-12 11:26,2025-08-12 11:26,2025-08-12 11:26,已签收,杨秀英,2172km,浦东网点,西湖网点,货物损坏,高,
WLYD2674217,杭州余杭区,上海鼓楼区,刘芳,EMP_058,杨丽贸易公司,德邦物流,电子产品,冷链物流,908kg,4.50m³,797元,5742元,2025-08-26 20:49,2025-08-26 20:49,2025-08-26 20:49,2025-08-26 20:49,运输中,刘秀英,2098km,天河网点,余杭网点,金额异常,高,浙北区
WLYD7963800,广州鼓楼区,广州余杭区,黄秀英,EMP_054,陈华物流公司,韵达速运,食品生鲜,整车,3961kg,1.25m³,306元,6295元,2025-08-21 13:08,2025-08-21 13:08,2025-08-21 13:08,2025-08-21 13:08,异常,王秀英,757km,西湖网点,鼓楼网点,虚假签收,低,
WLYD6654584,广州余杭区,深圳南山区,赵伟,EMP_056,杨丽贸易公司,顺丰速运,化工原料,零担,2004kg,9.89m³,4864元,4332元,2025-08-23 09:13,2025-08-23 09:13,2025-08-23 09:13,2025-08-23 09:13,已签收,张秀英,2079km,武林网点,武林网点,金额异常,低,
WLYD1325818,北京朝阳区,北京朝阳区,张伟,EMP_030,陈华物流公司,德邦物流,食品生鲜,合同物流,3241kg,8.60m³,7116元,6502元,2025-08-02 17:54,2025-08-02 17:54,2025-08-02 17:54,2025-08-02 17:54,异常,刘秀英,862km,武林网点,南山网点,货物损坏,中,北京区
WLYD4280858,上海天河区,西安余杭区,杨磊,EMP_030,刘洋运输公司,韵达速运,食品生鲜,零担,930kg,20.37m³,1405元,3193元,2025-08-23 16:16,2025-08-23 16:16,2025-08-23 16:16,2025-08-23 16:16,已退回,杨秀英,1565km,武林网点,武林网点,虚假签收,低,上海区
WLYD5046050,南京浦东新区,成都南山区,赵伟,EMP_046,黄强运输公司,顺丰速运,食品生鲜,合同物流,495kg,6.34m³,8393元,1016元,2025-08-27 08:37,2025-08-27 08:37,2025-08-27 08:37,2025-08-27 08:37,派送中,李秀英,412km,西湖网点,西湖网点,虚假签收,高,
WLYD3229938,深圳南山区,杭州浦东新区,赵伟,EMP_041,张伟货运公司,圆通速递,电子产品,冷链物流,1632kg,15.21m³,6693元,1139元,2025-08-11 13:36,2025-08-11 13:36,2025-08-11 13:36,2025-08-11 13:36,已签收,陈秀英,1486km,鼓楼网点,天河网点,货物损坏,低,
WLYD9187908,南京朝阳区,西安鼓楼区,吴磊,EMP_057,周涛货运公司,韵达速运,化工原料,合同物流,2344kg,10.8m³,2984元,610元,2025-08-03 09:51,2025-08-03 09:51,2025-08-03 09:51,2025-08-03 09:51,异常,王秀英,1222km,鼓楼网点,南山网点,货物损坏,低,
WLYD5981867,深圳余杭区,上海余杭区,吴磊,EMP_049,王静贸易公司,德邦物流,五金工具,快递,2016kg,9.46m³,6637元,4645元,2025-08-02 15:01,2025-08-02 15:01,2025-08-02 15:01,2025-08-02 15:01,异常,陈秀英,1994km,鼓楼网点,鼓楼网点,重复下单,中,
WLYD1055460,南京天河区,杭州天河区,吴磊,EMP_057,周涛货运公司,极兔速递,化工原料,整车,4434kg,8.82m³,4949元,7165元,2025-08-27 19:28,2025-08-27 19:28,2025-08-27 19:28,2025-08-27 19:28,异常,刘秀英,2075km,浦东网点,天河网点,金额异常,低,
