运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD2586290,广州浦东新区,成都南山区,吴磊,EMP_032,杨丽贸易公司,圆通速递,五金工具,冷链物流,3606kg,16.91m³,4614元,1583元,2025-02-01 09:54,2025-02-01 09:54,2025-02-01 09:54,2025-02-01 09:54,派送中,杨秀英,2623km,西湖网点,朝阳网点,重复下单,高,
WLYD5429282,北京浦东新区,深圳浦东新区,王娜,EMP_047,黄强运输公司,申通快递,图书文具,整车,3151kg,19.3m³,8492元,2006元,2025-02-13 11:56,2025-02-13 11:56,2025-02-13 11:56,2025-02-13 11:56,派送中,黄秀英,419km,武林网点,朝阳网点,重复下单,高,北京区
WLYD8186262,杭州南山区,重庆鼓楼区,王娜,EMP_042,王静贸易公司,极兔速递,家具家电,快递,2221kg,10.42m³,2453元,2254元,2025-02-01 17:18,2025-02-01 17:18,2025-02-01 17:18,2025-02-01 17:18,运输中,赵秀英,672km,余杭网点,武林网点,货物损坏,高,浙北区
WLYD4321293,上海余杭区,南京浦东新区,杨磊,EMP_053,王静贸易公司,顺丰速运,电子产品,跨境电商,1630kg,15.42m³,4791元,4002元,2025-02-16 14:01,2025-02-16 14:01,2025-02-16 14:01,2025-02-16 14:01,派送中,张秀英,1105km,南山网点,余杭网点,超时派送,低,上海区
WLYD7987010,上海天河区,西安浦东新区,赵伟,EMP_031,黄强运输公司,德邦物流,食品生鲜,快递,1194kg,12.89m³,395元,5570元,2025-02-01 09:18,2025-02-01 09:18,2025-02-01 09:18,2025-02-01 09:18,异常,王秀英,720km,武林网点,天河网点,地址错误,中,上海区
WLYD9499776,杭州浦东新区,北京朝阳区,杨磊,EMP_055,陈华物流公司,圆通速递,服装鞋帽,跨境电商,606kg,5.9m³,3612元,4791元,2025-02-24 10:22,2025-02-24 10:22,2025-02-24 10:22,2025-02-24 10:22,派送中,黄秀英,2371km,西湖网点,余杭网点,地址错误,高,浙北区
WLYD4360894,杭州鼓楼区,杭州鼓楼区,张伟,EMP_055,张伟货运公司,极兔速递,服装鞋帽,跨境电商,4450kg,13.60m³,8030元,3964元,2025-02-07 13:47,2025-02-07 13:47,2025-02-07 13:47,2025-02-07 13:47,已退回,刘秀英,2685km,南山网点,南山网点,地址错误,低,浙北区
WLYD7891105,上海鼓楼区,重庆鼓楼区,李强,EMP_056,李刚物流公司,申通快递,化工原料,零担,4389kg,10.39m³,1362元,4486元,2025-02-11 18:05,2025-02-11 18:05,2025-02-11 18:05,2025-02-11 18:05,派送中,杨秀英,2297km,天河网点,余杭网点,货物损坏,中,上海区
WLYD6254637,上海南山区,深圳南山区,杨磊,EMP_038,陈华物流公司,中通快递,食品生鲜,合同物流,660kg,14.29m³,7374元,1664元,2025-02-27 17:45,2025-02-27 17:45,2025-02-27 17:45,2025-02-27 17:45,已签收,王秀英,943km,浦东网点,武林网点,地址错误,高,上海区
WLYD9309413,南京南山区,上海天河区,赵伟,EMP_037,赵磊物流公司,申通快递,食品生鲜,零担,1988kg,9.62m³,9464元,1839元,2025-02-04 11:22,2025-02-04 11:22,2025-02-04 11:22,2025-02-04 11:22,运输中,黄秀英,2246km,鼓楼网点,鼓楼网点,货物损坏,低,
WLYD1073738,广州鼓楼区,成都余杭区,吴磊,EMP_047,杨丽贸易公司,极兔速递,图书文具,零担,2718kg,5.19m³,207元,7785元,2025-02-02 15:55,2025-02-02 15:55,2025-02-02 15:55,2025-02-02 15:55,运输中,王秀英,330km,浦东网点,南山网点,金额异常,高,
WLYD7055865,上海南山区,南京鼓楼区,张伟,EMP_035,李刚物流公司,申通快递,电子产品,快递,1214kg,16.10m³,2363元,554元,2025-02-10 18:49,2025-02-10 18:49,2025-02-10 18:49,2025-02-10 18:49,派送中,黄秀英,217km,朝阳网点,南山网点,地址错误,低,上海区
WLYD4782935,深圳朝阳区,重庆天河区,吴磊,EMP_046,李刚物流公司,韵达速运,化工原料,跨境电商,1199kg,10.49m³,7971元,5245元,2025-02-15 19:15,2025-02-15 19:15,2025-02-15 19:15,2025-02-15 19:15,派送中,王秀英,601km,浦东网点,武林网点,超时派送,低,
WLYD6160260,北京鼓楼区,重庆朝阳区,王娜,EMP_031,黄强运输公司,德邦物流,五金工具,整车,411kg,17.51m³,442元,6680元,2025-02-14 17:14,2025-02-14 17:14,2025-02-14 17:14,2025-02-14 17:14,已退回,赵秀英,186km,浦东网点,天河网点,金额异常,低,北京区
WLYD5559632,广州浦东新区,杭州天河区,陈静,EMP_056,刘洋运输公司,申通快递,服装鞋帽,冷链物流,480kg,6.80m³,603元,1315元,2025-02-22 10:20,2025-02-22 10:20,2025-02-22 10:20,2025-02-22 10:20,已退回,张秀英,363km,鼓楼网点,西湖网点,金额异常,低,
WLYD7301049,广州朝阳区,南京南山区,周芳,EMP_035,王静贸易公司,中通快递,服装鞋帽,合同物流,730kg,1.79m³,5751元,7081元,2025-02-27 17:13,2025-02-27 17:13,2025-02-27 17:13,2025-02-27 17:13,运输中,赵秀英,925km,武林网点,鼓楼网点,虚假签收,低,
WLYD3568231,杭州南山区,重庆南山区,吴磊,EMP_033,杨丽贸易公司,圆通速递,食品生鲜,跨境电商,932kg,11.28m³,186元,2610元,2025-02-22 18:56,2025-02-22 18:56,2025-02-22 18:56,2025-02-22 18:56,异常,张秀英,449km,天河网点,余杭网点,虚假签收,低,浙北区
WLYD9271200,北京朝阳区,成都鼓楼区,赵伟,EMP_045,杨丽贸易公司,中通快递,食品生鲜,冷链物流,2455kg,6.53m³,8593元,5053元,2025-02-14 20:35,2025-02-14 20:35,2025-02-14 20:35,2025-02-14 20:35,异常,赵秀英,895km,南山网点,朝阳网点,货物损坏,低,北京区
WLYD8171033,北京天河区,上海鼓楼区,杨磊,EMP_050,王静贸易公司,中通快递,服装鞋帽,快递,4939kg,17.22m³,3273元,5823元,2025-02-22 15:48,2025-02-22 15:48,2025-02-22 15:48,2025-02-22 15:48,派送中,黄秀英,905km,余杭网点,西湖网点,重复下单,高,北京区
