运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD3719236,上海鼓楼区,重庆鼓楼区,王娜,EMP_046,黄强运输公司,德邦物流,电子产品,跨境电商,2054kg,10.80m³,5833元,7131元,2025-03-01 16:58,2025-03-01 16:58,2025-03-01 16:58,2025-03-01 16:58,运输中,陈秀英,300km,朝阳网点,朝阳网点,金额异常,低,上海区
WLYD5650789,杭州朝阳区,重庆余杭区,陈静,EMP_036,周涛货运公司,圆通速递,服装鞋帽,整车,3155kg,7.14m³,5731元,6073元,2025-03-26 11:49,2025-03-26 11:49,2025-03-26 11:49,2025-03-26 11:49,已签收,陈秀英,388km,朝阳网点,南山网点,地址错误,高,浙北区
WLYD2004183,深圳朝阳区,西安南山区,黄秀英,EMP_048,李刚物流公司,极兔速递,图书文具,合同物流,3414kg,12.2m³,2761元,7878元,2025-03-24 10:48,2025-03-24 10:48,2025-03-24 10:48,2025-03-24 10:48,已退回,黄秀英,1018km,南山网点,鼓楼网点,重量异常,低,
WLYD1560855,南京余杭区,北京天河区,刘芳,EMP_037,李刚物流公司,韵达速运,服装鞋帽,合同物流,2708kg,18.20m³,3726元,3358元,2025-03-09 19:05,2025-03-09 19:05,2025-03-09 19:05,2025-03-09 19:05,异常,杨秀英,2631km,西湖网点,余杭网点,金额异常,中,
WLYD4983176,杭州浦东新区,重庆天河区,刘芳,EMP_056,刘洋运输公司,韵达速运,家具家电,冷链物流,1213kg,9.90m³,9391元,1319元,2025-03-15 12:20,2025-03-15 12:20,2025-03-15 12:20,2025-03-15 12:20,派送中,黄秀英,1346km,西湖网点,南山网点,超时派送,高,浙北区
WLYD6906190,广州鼓楼区,上海浦东新区,张伟,EMP_059,陈华物流公司,德邦物流,服装鞋帽,合同物流,1657kg,3.54m³,5979元,5231元,2025-03-25 14:40,2025-03-25 14:40,2025-03-25 14:40,2025-03-25 14:40,异常,刘秀英,365km,西湖网点,余杭网点,地址错误,低,
WLYD5636138,上海浦东新区,深圳浦东新区,黄秀英,EMP_054,周涛货运公司,德邦物流,食品生鲜,快递,4421kg,17.84m³,1310元,7473元,2025-03-06 18:58,2025-03-06 18:58,2025-03-06 18:58,2025-03-06 18:58,已签收,刘秀英,2073km,鼓楼网点,余杭网点,重复下单,中,上海区
WLYD4761284,广州南山区,杭州朝阳区,李强,EMP_051,李刚物流公司,德邦物流,电子产品,零担,4420kg,19.95m³,7574元,5312元,2025-03-24 16:16,2025-03-24 16:16,2025-03-24 16:16,2025-03-24 16:16,已退回,刘秀英,2686km,南山网点,天河网点,地址错误,低,
WLYD2095003,杭州浦东新区,成都鼓楼区,李强,EMP_056,李刚物流公司,圆通速递,化工原料,合同物流,2956kg,15.36m³,3035元,3200元,2025-03-15 12:26,2025-03-15 12:26,2025-03-15 12:26,2025-03-15 12:26,已签收,王秀英,345km,余杭网点,南山网点,重量异常,低,浙北区
WLYD1056733,广州朝阳区,杭州朝阳区,吴磊,EMP_033,杨丽贸易公司,德邦物流,五金工具,合同物流,3908kg,14.83m³,8945元,3466元,2025-03-12 10:03,2025-03-12 10:03,2025-03-12 10:03,2025-03-12 10:03,派送中,王秀英,2076km,武林网点,余杭网点,重量异常,高,
