运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD6318538,北京余杭区,杭州鼓楼区,赵洋,EMP_002,周丽贸易公司,圆通速递,化工品,整车,3900kg,3.59m³,1180元,3624元,2025-09-16 07:43,2025-04-26 16:20,2025-09-16 07:43,2026-11-16 04:32,派送中,周秀英,912km,朝阳网点,余杭网点,包装破损,高,北京区
WLYD6361334,南京天河区,深圳南山区,张敏,EMP_031,周娜贸易公司,申通快递,建材,合同物流,4229kg,8.48m³,1658元,676元,2026-07-12 12:14,2025-10-28 00:57,2026-07-12 12:14,2025-10-21 20:19,派送中,王强,645km,浦东网点,余杭网点,未及时签收,低,上海区
WLYD2495449,深圳南山区,杭州鼓楼区,吴静,EMP_082,吴芳贸易公司,申通快递,电子产品,整车,2711kg,9.92m³,4505元,4783元,2025-12-06 03:18,2025-11-01 19:25,2025-12-06 03:18,2026-10-27 16:40,已签收,刘静,265km,天河网点,朝阳网点,重量异常,高,上海区
WLYD2864326,北京南山区,北京天河区,陈娜,EMP_098,李洋贸易公司,圆通速递,化工品,整车,4547kg,7.80m³,617元,1495元,2025-01-15 17:44,2025-09-07 16:19,2025-01-15 17:44,2026-11-16 21:53,已签收,赵芳,957km,朝阳网点,浦东网点,路线异常,高,北京区
WLYD4887432,广州鼓楼区,深圳天河区,黄伟,EMP_067,李敏贸易公司,韵达快运,电子产品,合同物流,4320kg,8.44m³,3319元,4750元,2026-06-09 03:07,2026-10-19 11:30,2026-06-09 03:07,2026-02-18 14:01,已退回,黄丽,1018km,余杭网点,浦东网点,包装破损,中,上海区
WLYD8380423,杭州余杭区,深圳朝阳区,陈娜,EMP_059,王芳贸易公司,韵达快运,服装,合同物流,4580kg,4.42m³,864元,1203元,2026-11-20 05:33,2026-04-05 01:27,2026-11-20 05:33,2025-11-16 23:17,派送中,王强,98km,鼓楼网点,浦东网点,路线异常,高,浙北区
WLYD3230702,深圳鼓楼区,广州浦东新区,黄敏,EMP_085,刘磊贸易公司,中通快递,食品,零担,776kg,9.84m³,3708元,1518元,2025-08-27 11:24,2025-02-16 05:06,2025-08-27 11:24,2026-01-05 10:19,已退回,黄秀英,123km,浦东网点,鼓楼网点,包装破损,中,上海区
WLYD3309436,杭州鼓楼区,杭州鼓楼区,黄丽,EMP_060,王秀英贸易公司,申通快递,建材,合同物流,2369kg,3.86m³,4502元,2688元,2025-01-06 08:37,2025-06-21 15:00,2025-01-06 08:37,2025-03-24 10:39,已退回,王洋,972km,浦东网点,天河网点,虚假签收,高,浙北区
WLYD2231982,杭州南山区,广州余杭区,李秀英,EMP_047,王磊贸易公司,顺丰物流,食品,零担,4560kg,0.15m³,3762元,3787元,2025-12-04 05:27,2025-05-11 16:16,2025-12-04 05:27,2025-07-05 18:35,已签收,吴洋,1533km,南山网点,鼓楼网点,货物损坏,低,浙北区
WLYD8386326,深圳鼓楼区,广州余杭区,刘敏,EMP_025,赵洋贸易公司,韵达快运,电子产品,合同物流,3662kg,8.75m³,3104元,3418元,2026-06-06 22:22,2025-10-27 08:39,2026-06-06 22:22,2025-07-25 22:54,已退回,张敏,754km,浦东网点,朝阳网点,虚假签收,高,上海区
WLYD4867888,广州南山区,杭州浦东新区,杨洋,EMP_066,赵敏贸易公司,韵达快运,服装,合同物流,4000kg,7.74m³,2865元,1212元,2025-02-13 22:26,2026-04-01 15:34,2025-02-13 22:26,2025-04-15 09:59,已退回,陈磊,376km,浦东网点,朝阳网点,超时派送,中,上海区
WLYD2121235,上海朝阳区,北京南山区,周丽,EMP_021,刘洋贸易公司,顺丰物流,电子产品,整车,1187kg,4.10m³,1277元,1382元,2026-08-07 07:51,2025-12-06 19:59,2026-08-07 07:51,2025-12-11 03:55,派送中,陈娜,1756km,天河网点,浦东网点,重量异常,高,上海区
WLYD8858937,南京余杭区,广州鼓楼区,杨磊,EMP_099,陈磊贸易公司,顺丰物流,化工品,整车,1410kg,6.64m³,1639元,2686元,2025-10-07 19:11,2025-12-12 22:10,2025-10-07 19:11,2026-03-15 10:31,派送中,张娜,1527km,天河网点,浦东网点,路线异常,中,上海区
