运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD8275374,广州浦东新区,深圳南山区,张伟,EMP_033,刘洋运输公司,德邦物流,食品生鲜,合同物流,2819kg,16.23m³,3408元,1464元,2025-06-03 19:26,2025-06-03 19:26,2025-06-03 19:26,2025-06-03 19:26,已退回,杨秀英,2983km,南山网点,鼓楼网点,重量异常,高,上海区
WLYD5569430,杭州余杭区,西安朝阳区,杨磊,EMP_041,王静贸易公司,德邦物流,食品生鲜,冷链物流,3484kg,20.27m³,1698元,7626元,2025-06-13 11:19,2025-06-13 11:19,2025-06-13 11:19,2025-06-13 11:19,派送中,杨秀英,1951km,南山网点,天河网点,金额异常,低,浙北区
WLYD6020617,深圳浦东新区,南京南山区,吴磊,EMP_031,黄强运输公司,韵达速运,服装鞋帽,跨境电商,3490kg,15.94m³,4964元,1706元,2025-06-26 14:37,2025-06-26 14:37,2025-06-26 14:37,2025-06-26 14:37,已退回,王秀英,132km,鼓楼网点,余杭网点,重量异常,高,上海区
WLYD7116791,杭州朝阳区,武汉鼓楼区,杨磊,EMP_049,赵磊物流公司,极兔速递,图书文具,快递,685kg,15.50m³,3219元,4669元,2025-06-04 08:45,2025-06-04 08:45,2025-06-04 08:45,2025-06-04 08:45,已签收,张秀英,1759km,西湖网点,天河网点,重复下单,中,浙北区
WLYD1685325,深圳朝阳区,武汉余杭区,吴磊,EMP_043,陈华物流公司,韵达速运,服装鞋帽,合同物流,2622kg,8.77m³,8046元,5363元,2025-06-18 11:12,2025-06-18 11:12,2025-06-18 11:12,2025-06-18 11:12,已退回,王秀英,2189km,天河网点,南山网点,金额异常,低,上海区
WLYD8942662,南京朝阳区,深圳天河区,周芳,EMP_031,李刚物流公司,韵达速运,化工原料,快递,1425kg,18.86m³,4875元,6178元,2025-06-09 09:14,2025-06-09 09:14,2025-06-09 09:14,2025-06-09 09:14,派送中,黄秀英,317km,天河网点,武林网点,虚假签收,中,上海区
WLYD4489095,广州朝阳区,成都天河区,张伟,EMP_047,周涛货运公司,韵达速运,图书文具,冷链物流,2381kg,2.17m³,8040元,670元,2025-06-04 19:56,2025-06-04 19:56,2025-06-04 19:56,2025-06-04 19:56,已签收,王秀英,2616km,鼓楼网点,鼓楼网点,地址错误,中,上海区
WLYD5240069,南京朝阳区,北京南山区,陈静,EMP_035,周涛货运公司,韵达速运,五金工具,冷链物流,2841kg,9.57m³,1440元,1116元,2025-06-14 15:09,2025-06-14 15:09,2025-06-14 15:09,2025-06-14 15:09,运输中,王秀英,1735km,南山网点,鼓楼网点,重量异常,低,上海区
WLYD8183532,深圳朝阳区,成都浦东新区,陈静,EMP_054,杨明货运公司,中通快递,家具家电,跨境电商,2146kg,15.18m³,4151元,3540元,2025-06-06 12:53,2025-06-06 12:53,2025-06-06 12:53,2025-06-06 12:53,已签收,李秀英,2167km,南山网点,鼓楼网点,超时派送,低,上海区
WLYD1026114,上海余杭区,杭州天河区,黄秀英,EMP_034,李刚物流公司,中通快递,五金工具,合同物流,706kg,7.97m³,5968元,4735元,2025-06-26 19:03,2025-06-26 19:03,2025-06-26 19:03,2025-06-26 19:03,已签收,张秀英,2612km,鼓楼网点,鼓楼网点,地址错误,低,上海区
WLYD4170786,北京鼓楼区,北京鼓楼区,杨磊,EMP_041,杨丽贸易公司,韵达速运,五金工具,合同物流,115kg,16.32m³,6637元,2953元,2025-06-26 17:04,2025-06-26 17:04,2025-06-26 17:04,2025-06-26 17:04,已签收,王秀英,2677km,西湖网点,鼓楼网点,虚假签收,低,北京区
WLYD6668973,深圳南山区,武汉南山区,陈静,EMP_052,张伟货运公司,中通快递,图书文具,合同物流,865kg,4.41m³,3409元,2310元,2025-06-08 11:29,2025-06-08 11:29,2025-06-08 11:29,2025-06-08 11:29,运输中,黄秀英,2893km,西湖网点,浦东网点,金额异常,高,上海区
WLYD1974444,上海鼓楼区,杭州余杭区,黄秀英,EMP_040,王静贸易公司,圆通速递,图书文具,零担,4630kg,20.28m³,4447元,1537元,2025-06-20 13:06,2025-06-20 13:06,2025-06-20 13:06,2025-06-20 13:06,已签收,王秀英,2566km,朝阳网点,天河网点,超时派送,中,上海区
WLYD5086534,深圳天河区,广州鼓楼区,陈静,EMP_053,张伟货运公司,申通快递,服装鞋帽,零担,3796kg,9.20m³,2753元,7907元,2025-06-19 10:13,2025-06-19 10:13,2025-06-19 10:13,2025-06-19 10:13,派送中,杨秀英,2175km,鼓楼网点,朝阳网点,重复下单,高,上海区
WLYD9531879,上海朝阳区,武汉南山区,王娜,EMP_043,王静贸易公司,韵达速运,五金工具,跨境电商,2024kg,5.62m³,1317元,7216元,2025-06-23 12:39,2025-06-23 12:39,2025-06-23 12:39,2025-06-23 12:39,运输中,杨秀英,2366km,浦东网点,浦东网点,重复下单,中,上海区
WLYD3377988,上海鼓楼区,上海天河区,黄秀英,EMP_058,张伟货运公司,韵达速运,化工原料,零担,2384kg,5.40m³,5548元,4242元,2025-06-04 19:22,2025-06-04 19:22,2025-06-04 19:22,2025-06-04 19:22,派送中,黄秀英,2037km,西湖网点,西湖网点,地址错误,低,上海区
WLYD2332399,北京鼓楼区,杭州浦东新区,周芳,EMP_056,杨丽贸易公司,顺丰速运,家具家电,跨境电商,3643kg,17.9m³,9388元,5766元,2025-06-06 13:21,2025-06-06 13:21,2025-06-06 13:21,2025-06-06 13:21,已签收,杨秀英,1464km,朝阳网点,西湖网点,地址错误,高,北京区
