运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD6675715,杭州天河区,南京朝阳区,周芳,EMP_056,李刚物流公司,顺丰速运,食品生鲜,整车,3483kg,19.17m³,2172元,5770元,2025-11-22 08:37,2025-11-22 08:37,2025-11-22 08:37,2025-11-22 08:37,已签收,李秀英,234km,南山网点,浦东网点,超时派送,高,浙北区
WLYD2435202,上海鼓楼区,北京余杭区,杨磊,EMP_055,陈华物流公司,申通快递,食品生鲜,合同物流,1163kg,6.19m³,5992元,1107元,2025-11-15 19:41,2025-11-15 19:41,2025-11-15 19:41,2025-11-15 19:41,已退回,黄秀英,914km,西湖网点,西湖网点,超时派送,高,上海区
WLYD9420166,杭州天河区,深圳余杭区,周芳,EMP_044,杨明货运公司,韵达速运,图书文具,合同物流,1330kg,10.28m³,737元,1468元,2025-11-02 08:08,2025-11-02 08:08,2025-11-02 08:08,2025-11-02 08:08,运输中,王秀英,1879km,武林网点,朝阳网点,货物损坏,低,浙北区
WLYD6811846,北京南山区,重庆天河区,李强,EMP_031,周涛货运公司,韵达速运,五金工具,跨境电商,1875kg,5.14m³,752元,375元,2025-11-04 11:34,2025-11-04 11:34,2025-11-04 11:34,2025-11-04 11:34,异常,赵秀英,1753km,鼓楼网点,朝阳网点,重量异常,低,北京区
WLYD3039572,北京天河区,西安朝阳区,刘芳,EMP_040,赵磊物流公司,极兔速递,图书文具,冷链物流,4426kg,18.90m³,3274元,990元,2025-11-25 08:50,2025-11-25 08:50,2025-11-25 08:50,2025-11-25 08:50,异常,赵秀英,2595km,天河网点,朝阳网点,虚假签收,低,北京区
WLYD4507187,上海鼓楼区,武汉朝阳区,陈静,EMP_039,刘洋运输公司,顺丰速运,服装鞋帽,零担,3248kg,3.77m³,1821元,6338元,2025-11-04 10:58,2025-11-04 10:58,2025-11-04 10:58,2025-11-04 10:58,派送中,张秀英,2096km,西湖网点,南山网点,货物损坏,中,上海区
WLYD2925421,深圳余杭区,西安鼓楼区,黄秀英,EMP_038,王静贸易公司,顺丰速运,食品生鲜,整车,1344kg,19.54m³,4904元,2455元,2025-11-28 08:41,2025-11-28 08:41,2025-11-28 08:41,2025-11-28 08:41,已签收,刘秀英,667km,朝阳网点,余杭网点,重复下单,低,
WLYD5728257,深圳余杭区,杭州天河区,吴磊,EMP_031,赵磊物流公司,申通快递,服装鞋帽,跨境电商,1154kg,17.9m³,6529元,7514元,2025-11-11 08:11,2025-11-11 08:11,2025-11-11 08:11,2025-11-11 08:11,已退回,黄秀英,1551km,天河网点,南山网点,货物损坏,高,
WLYD2884648,深圳余杭区,杭州余杭区,陈静,EMP_054,王静贸易公司,申通快递,食品生鲜,冷链物流,961kg,16.56m³,4177元,1482元,2025-11-27 19:07,2025-11-27 19:07,2025-11-27 19:07,2025-11-27 19:07,已退回,李秀英,2778km,余杭网点,鼓楼网点,金额异常,低,
WLYD1315668,杭州天河区,重庆朝阳区,吴磊,EMP_033,李刚物流公司,申通快递,图书文具,整车,2831kg,3.71m³,4204元,6229元,2025-11-06 19:09,2025-11-06 19:09,2025-11-06 19:09,2025-11-06 19:09,已退回,李秀英,1041km,浦东网点,南山网点,金额异常,低,浙北区
WLYD6048791,上海朝阳区,深圳朝阳区,张伟,EMP_057,黄强运输公司,韵达速运,食品生鲜,冷链物流,177kg,14.48m³,5815元,4984元,2025-11-11 20:09,2025-11-11 20:09,2025-11-11 20:09,2025-11-11 20:09,已签收,杨秀英,2403km,余杭网点,朝阳网点,货物损坏,高,上海区
WLYD4604136,广州浦东新区,广州余杭区,王娜,EMP_033,张伟货运公司,中通快递,食品生鲜,跨境电商,3337kg,12.0m³,921元,3621元,2025-11-25 15:25,2025-11-25 15:25,2025-11-25 15:25,2025-11-25 15:25,异常,赵秀英,2785km,天河网点,浦东网点,重复下单,中,
WLYD8118368,南京浦东新区,杭州浦东新区,周芳,EMP_046,杨明货运公司,韵达速运,图书文具,零担,2246kg,3.53m³,2949元,3158元,2025-11-24 15:17,2025-11-24 15:17,2025-11-24 15:17,2025-11-24 15:17,派送中,张秀英,2630km,余杭网点,西湖网点,重量异常,中,
WLYD9523893,广州朝阳区,南京天河区,刘芳,EMP_033,李刚物流公司,圆通速递,服装鞋帽,快递,2665kg,12.88m³,2579元,2362元,2025-11-16 17:38,2025-11-16 17:38,2025-11-16 17:38,2025-11-16 17:38,已退回,张秀英,734km,天河网点,鼓楼网点,重量异常,高,
WLYD7844455,南京浦东新区,成都南山区,黄秀英,EMP_042,周涛货运公司,极兔速递,服装鞋帽,整车,1596kg,8.36m³,9711元,4279元,2025-11-06 09:21,2025-11-06 09:21,2025-11-06 09:21,2025-11-06 09:21,派送中,杨秀英,2669km,武林网点,武林网点,地址错误,中,
WLYD4948356,杭州天河区,重庆余杭区,陈静,EMP_037,黄强运输公司,极兔速递,图书文具,快递,3032kg,13.72m³,2958元,2184元,2025-11-25 18:08,2025-11-25 18:08,2025-11-25 18:08,2025-11-25 18:08,运输中,赵秀英,2270km,浦东网点,余杭网点,重量异常,中,浙北区
WLYD2375808,深圳鼓楼区,重庆南山区,刘芳,EMP_043,陈华物流公司,中通快递,服装鞋帽,跨境电商,1068kg,17.29m³,7330元,3861元,2025-11-13 09:15,2025-11-13 09:15,2025-11-13 09:15,2025-11-13 09:15,已退回,刘秀英,2550km,南山网点,南山网点,虚假签收,中,
WLYD9461702,杭州朝阳区,北京浦东新区,陈静,EMP_032,王静贸易公司,极兔速递,家具家电,冷链物流,949kg,9.83m³,6606元,2709元,2025-11-09 20:55,2025-11-09 20:55,2025-11-09 20:55,2025-11-09 20:55,异常,赵秀英,1754km,天河网点,武林网点,超时派送,中,浙北区
WLYD8981224,北京朝阳区,深圳浦东新区,黄秀英,EMP_036,陈华物流公司,顺丰速运,食品生鲜,整车,640kg,2.58m³,512元,1813元,2025-11-23 15:25,2025-11-23 15:25,2025-11-23 15:25,2025-11-23 15:25,已签收,王秀英,2623km,南山网点,余杭网点,重复下单,高,北京区
WLYD2928952,南京鼓楼区,上海余杭区,张伟,EMP_038,赵磊物流公司,德邦物流,服装鞋帽,合同物流,4841kg,17.73m³,3150元,6290元,2025-11-06 13:17,2025-11-06 13:17,2025-11-06 13:17,2025-11-06 13:17,运输中,李秀英,2620km,朝阳网点,天河网点,重量异常,中,
WLYD1447532,上海南山区,西安余杭区,王娜,EMP_050,李刚物流公司,中通快递,电子产品,合同物流,1401kg,8.30m³,6457元,3850元,2025-11-01 09:18,2025-11-01 09:18,2025-11-01 09:18,2025-11-01 09:18,已签收,黄秀英,2455km,浦东网点,余杭网点,地址错误,中,上海区
WLYD4751653,上海余杭区,深圳余杭区,李强,EMP_047,李刚物流公司,韵达速运,家具家电,零担,3452kg,11.52m³,6541元,3578元,2025-11-22 16:12,2025-11-22 16:12,2025-11-22 16:12,2025-11-22 16:12,异常,张秀英,523km,西湖网点,天河网点,重量异常,低,上海区
WLYD3990290,上海南山区,北京南山区,周芳,EMP_042,赵磊物流公司,韵达速运,家具家电,快递,2722kg,16.0m³,3208元,5709元,2025-11-23 13:19,2025-11-23 13:19,2025-11-23 13:19,2025-11-23 13:19,已签收,陈秀英,2549km,天河网点,武林网点,超时派送,高,上海区
WLYD3483431,南京浦东新区,西安朝阳区,李强,EMP_035,李刚物流公司,韵达速运,服装鞋帽,整车,281kg,7.43m³,5096元,684元,2025-11-07 16:43,2025-11-07 16:43,2025-11-07 16:43,2025-11-07 16:43,运输中,张秀英,846km,朝阳网点,朝阳网点,重量异常,低,
