运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD1113086,南京朝阳区,上海南山区,刘洋,EMP_055,王强贸易公司,申通快递,建材,合同物流,701kg,2.69m³,2216元,3323元,2026-08-10 21:55,2026-07-26 13:32,2026-08-10 21:55,2025-09-16 09:22,派送中,张静,186km,天河网点,鼓楼网点,路线异常,中,上海区
WLYD3591780,上海浦东新区,北京朝阳区,王洋,EMP_072,王秀英贸易公司,韵达快运,建材,合同物流,3144kg,2.20m³,1444元,1249元,2025-03-15 00:32,2026-03-11 23:59,2025-03-15 00:32,2026-11-17 06:08,已退回,黄娜,777km,天河网点,浦东网点,超时派送,高,上海区
WLYD9516837,深圳余杭区,广州南山区,李强,EMP_044,李丽贸易公司,中通快递,食品,零担,2499kg,1.18m³,2469元,2247元,2026-08-05 17:44,2026-11-17 20:47,2026-08-05 17:44,2025-04-15 16:23,派送中,陈磊,182km,朝阳网点,余杭网点,超时派送,低,上海区
WLYD2731790,广州朝阳区,北京余杭区,陈强,EMP_083,黄磊贸易公司,申通快递,食品,整车,3459kg,2.01m³,689元,737元,2025-12-03 04:04,2026-02-04 09:04,2025-12-03 04:04,2025-12-27 17:05,已退回,吴芳,1988km,南山网点,朝阳网点,虚假签收,中,上海区
WLYD9771123,北京鼓楼区,深圳朝阳区,刘娜,EMP_039,刘强贸易公司,中通快递,电子产品,合同物流,4563kg,7.73m³,3155元,2339元,2025-12-05 00:46,2025-07-02 12:49,2025-12-05 00:46,2025-05-06 21:14,已签收,杨敏,281km,天河网点,浦东网点,路线异常,高,北京区
WLYD9497682,南京南山区,南京余杭区,周洋,EMP_009,吴强贸易公司,顺丰物流,建材,零担,1609kg,7.79m³,3322元,1336元,2026-09-28 00:44,2026-02-23 04:24,2026-09-28 00:44,2026-11-08 21:04,已签收,赵洋,1519km,余杭网点,南山网点,运费异常,高,上海区
WLYD8212804,杭州浦东新区,杭州朝阳区,杨强,EMP_095,王芳贸易公司,韵达快运,食品,合同物流,1254kg,4.71m³,3078元,2449元,2025-09-06 11:01,2026-06-09 22:50,2025-09-06 11:01,2026-05-04 11:37,已签收,刘敏,1744km,朝阳网点,天河网点,运费异常,低,浙北区
WLYD9567575,广州浦东新区,南京浦东新区,周磊,EMP_013,张强贸易公司,顺丰物流,服装,零担,3855kg,5.54m³,4652元,682元,2026-09-27 06:42,2026-06-12 07:16,2026-09-27 06:42,2025-01-12 02:11,已签收,王伟,1790km,南山网点,天河网点,包装破损,高,北京区
WLYD8033801,广州浦东新区,深圳天河区,陈伟,EMP_035,黄敏贸易公司,中通快递,建材,零担,1205kg,6.42m³,3183元,693元,2026-05-21 00:15,2025-06-01 19:23,2026-05-21 00:15,2026-05-23 19:42,已签收,李丽,877km,朝阳网点,南山网点,运费异常,高,上海区
WLYD4436922,深圳南山区,北京浦东新区,王芳,EMP_082,李静贸易公司,申通快递,电子产品,零担,2768kg,9.92m³,3996元,520元,2026-01-19 13:48,2025-02-21 20:06,2026-01-19 13:48,2025-07-27 07:50,已签收,吴敏,877km,鼓楼网点,天河网点,货物损坏,高,上海区
WLYD4686932,北京浦东新区,深圳天河区,张秀英,EMP_040,杨芳贸易公司,顺丰物流,建材,零担,614kg,5.40m³,728元,3422元,2026-04-03 01:23,2025-07-22 17:26,2026-04-03 01:23,2025-08-23 09:36,已退回,李洋,1462km,南山网点,浦东网点,包装破损,低,北京区
WLYD1454718,深圳天河区,北京天河区,周强,EMP_067,刘芳贸易公司,中通快递,建材,合同物流,206kg,1.69m³,295元,3691元,2025-04-18 12:23,2026-10-16 00:42,2025-04-18 12:23,2026-09-04 03:38,已退回,周磊,1717km,余杭网点,南山网点,未及时签收,低,上海区
WLYD2490607,南京天河区,杭州天河区,张芳,EMP_051,陈洋贸易公司,申通快递,建材,零担,3973kg,4.54m³,779元,1234元,2025-02-16 13:15,2026-07-16 19:12,2025-02-16 13:15,2026-02-02 14:06,派送中,吴静,1745km,天河网点,鼓楼网点,路线异常,低,上海区
WLYD4327029,杭州鼓楼区,深圳余杭区,赵丽,EMP_049,张洋贸易公司,韵达快运,化工品,零担,2349kg,6.41m³,800元,134元,2026-12-09 15:07,2026-09-06 02:34,2026-12-09 15:07,2026-05-21 11:59,已退回,张伟,1431km,浦东网点,南山网点,重量异常,高,浙北区
WLYD5103823,上海余杭区,广州南山区,陈秀英,EMP_043,李丽贸易公司,圆通速递,化工品,整车,335kg,4.93m³,990元,408元,2026-03-20 21:41,2026-09-27 00:01,2026-03-20 21:41,2025-07-27 05:06,已退回,黄敏,1925km,浦东网点,鼓楼网点,路线异常,中,上海区
WLYD7209952,广州天河区,上海朝阳区,王芳,EMP_049,陈洋贸易公司,顺丰物流,电子产品,整车,2803kg,8.08m³,1549元,1928元,2025-04-04 03:15,2025-09-01 23:34,2025-04-04 03:15,2025-12-21 06:06,派送中,黄娜,974km,南山网点,鼓楼网点,货物损坏,中,上海区
WLYD2106852,南京浦东新区,北京天河区,张娜,EMP_075,周芳贸易公司,韵达快运,服装,零担,2832kg,5.53m³,551元,1343元,2026-10-11 05:12,2025-10-02 19:59,2026-10-11 05:12,2025-09-09 06:33,派送中,周洋,1445km,南山网点,朝阳网点,未及时签收,中,上海区
WLYD3503926,深圳南山区,广州朝阳区,杨洋,EMP_034,杨秀英贸易公司,韵达快运,化工品,整车,231kg,2.09m³,2292元,3748元,2026-07-26 16:32,2026-04-28 02:29,2026-07-26 16:32,2026-07-05 15:46,已退回,吴丽,1099km,天河网点,浦东网点,未及时签收,中,上海区
